Económica;Explicación;23.13 (mil €);23.14 (mil €);Total (mil €);Total (€)
1;GASTOS DE PERSONAL;486,6;952,35;1.438,95;1.438.950
10;Altos cargos;71,16;61,04;132,2;132.200
12;Funcionarios;348,71;762,81;1.111,52;1.111.520
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;66,73;128,5;195,23;195.230
4;TRANSFERENCIAS CORRIENTES;–;29.908,97;29.908,97;29.908.970
44;A entidades públicas;–;63,87;63,87;63.870
45;A Comunidades Autónomas;–;13.193,00;13.193,00;13.193.000
46;A Entidades Locales;–;10.265,10;10.265,10;10.265.100
47;A empresas privadas;–;3.000,00;3.000,00;3.000.000
48;A familias e instituciones sin fines de lucro;–;3.387,00;3.387,00;3.387.000
6;INVERSIONES REALES;–;500;500,00;500.000
64;Gastos de inversiones de carácter inmaterial;–;500;500;500.000
7;TRANSFERENCIAS DE CAPITAL;–;39.797,16;39.797,16;39.797.160
75;A Comunidades Autónomas;–;11.176,86;11.176,86;11.176.860
76;A Entidades Locales;–;22.620,30;22.620,30;22.620.300
77;A empresas privadas;–;3.000,00;3.000,00;3.000.000
78;A familias e instituciones sin fines de lucro;–;3.000,00;3.000,00;3.000.000
TOTAL;—;486,6;71.158,48;71.645,08;71.645.080
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
