Económica;Explicación;23.04 (miles €);23.05 (miles €);Total (miles €);Total (€)
1;GASTOS DE PERSONAL;1.174,48;–;1.174,48;1.174.480,00
10;Altos cargos;80,3;–;80,3;80.300,00
11;Personal eventual;251,09;–;251,09;251.090,00
12;Funcionarios;727,82;–;727,82;727.820,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;115,27;–;115,27;115.270,00
4;TRANSFERENCIAS CORRIENTES;8.500,00;–;8.500,00;8.500.000,00
45;A Comunidades Autónomas;8.500,00;–;8.500,00;8.500.000,00
8;ACTIVOS FINANCIEROS;–;386.820,49;386.820,49;386.820.490,00
85;Adquisición de acciones y participaciones del Sector Público;–;386.820,49;386.820,49;386.820.490,00
TOTAL;TOTAL GENERAL;9.674,48;386.820,49;396.494,97;396.494.970,00
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
