Orgánica;Económica;Explicación;Total (mil €);Total (€)
23.06;1;GASTOS DE PERSONAL;25.070,66;25.070.660
10;Altos cargos;61,04;61,04;61.040
12;Funcionarios;14.188,49;14.188,49;14.188.490
13;Laborales;6.665,74;6.665,74;6.665.740
16;Cuotas y prestaciones sociales;4.155,39;4.155,39;4.155.390
16000;Seguridad Social;4.155,39;4.155,39;4.155.390
23.06;4;TRANSFERENCIAS CORRIENTES;1.869,28;1.869.280
48;A familias e instituciones sin fines de lucro;1.869,28;1.869,28;1.869.280
481;Ayudas a mariscadores de la ría de O Burgo;1.869,28;1.869,28;1.869.280
23.06;6;INVERSIONES REALES;68.765,51;68.765.510
23.06;7;TRANSFERENCIAS DE CAPITAL;950;950.000
76;A Entidades Locales;950;950;950.000
761;Ayto. Donostia – restauración muro y barandilla;500;500;500.000
762;Ayto. Castell-Platja d’Aro – proyecto reforma paseo;150;150;150.000
763;Ajuntament de Deltebre – entubamiento y urbanización;300;300;300.000
TOTAL DIRECCIÓN GENERAL DE LA COSTA Y DEL MAR;—;—;96.655,45;96.655.450,00
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
