;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen económico por programas del presupuesto de gastos;
;;
;Sección: 26 MINISTERIO DE SANIDAD;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Clasif. por programas;Explicación;Cap. 1;Cap. 2;Cap. 4;Cap. 6;Cap. 7;Cap. 8;Cap. 1 a 8;;Total;
231A; Plan Nacional sobre Drogas;2.840,58;1.130,58;10.530,89;;609,79;;15.111,84;;15.111,84;
311M; Dirección y Servicios Generales de Sanidad;30.089,95;5.495,96;2.353,06;2.034,54;24,92;40,50;40.038,93;;40.038,93;
311O; Políticas de Salud y Ordenación Profesional;4.362,38;3.434,34;;9,00;;;7.805,72;;7.805,72;
313A; Prestaciones sanitarias y farmacia;33.897,77;29.729,76;114.360,00;28.187,39;;80,00;206.254,92;;206.254,92;
313B; Salud pública, sanidad exterior y calidad;8.648,49;30.902,61;108.758,84;469,15;568.374,00;;717.153,09;;717.153,09;
313D; Donación y trasplante de órganos, tejidos y células;2.930,47;1.107,12;2.126,62;267,55;;25,00;6.456,76;;6.456,76;
313E; Salud Digital, Información e Innovación del Sistema Nacional de Salud;8.991,03;17.106,86;2.006,95;861,04;;;28.965,88;;28.965,88;
;TOTAL CONSOLIDADO;91.760,67;88.907,23;240.136,36;31.828,67;569.008,71;145,50;1.021.787,14;;1.021.787,14;
000X; Transferencias y libramientos internos;;;314.789,83;;22.364,90;;337.154,73;;337.154,73;
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;;;314.789,83;;22.364,90;;337.154,73;;337.154,73;
;TOTAL;91.760,67;88.907,23;554.926,19;31.828,67;591.373,61;145,50;1.358.941,87;;1.358.941,87;
;;



