Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
29.10;10;Altos cargos;61,04;61.040,00
29.10;12;Funcionarios;1.767,90;1.767.900,00
29.10;13;Laborales;283,21;283.210,00
29.10;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;220;220.000,00
29.10;16000;Seguridad Social;210;210.000,00
29.10;16200;Formación y perfeccionamiento del personal;10;10.000,00
—;—;TOTAL GASTOS DE PERSONAL;2.332,15;2.332.150,00
29.10;22;Material, suministros y otros;4.036,87;4.036.870,00
29.10;22601;Atenciones protocolarias y representativas;2,34;2.340,00
29.10;22708;Estudios y trabajos técnicos financiados con tasas del juego;820;820.000,00
29.10;23;Indemnizaciones por razón del servicio;28,73;28.730,00
—;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;4.065,60;4.065.600,00
29.10;45;A Comunidades Autónomas;1.400,00;1.400.000,00
29.10;451;Subvenciones para investigación y prevención de trastornos de juego;1.300,00;1.300.000,00
29.10;453;Subvenciones nominativas a hospitales públicos;100;100.000,00
29.10;45301;Hospital Bellvitge – detección de comportamientos de riesgo;50;50.000,00
29.10;45302;Hospital Ramón y Cajal – detección de comportamientos de riesgo;50;50.000,00
29.10;48;A familias e instituciones sin fines de lucro;825;825.000,00
29.10;480;Subvenciones para investigación y prevención de trastornos de juego;700;700.000,00
29.10;489;Subvenciones nominativas para detección de comportamientos de riesgo;125;125.000,00
29.10;48901;FEJAR – detección de comportamientos de riesgo;100;100.000,00
29.10;48902;ACENCAS – detección de comportamientos de riesgo;20;20.000,00
29.10;48903;AZAJER – detección de comportamientos de riesgo;5;5.000,00
—;—;TOTAL TRANSFERENCIAS CORRIENTES;2.225,00;2.225.000,00
29.10;621;Inversión nueva asociada al funcionamiento operativo;410;410.000,00
29.10;641;Gastos en inversión de carácter inmaterial;2.100,00;2.100.000,00
—;—;TOTAL INVERSIONES REALES;3.741,85;3.741.850,00
;;29.10;12.364,60;12.364.600,00
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
 ;;;;
;;;;
;;;;
;;;;
;;;;
 ;;;;
;;;;
 ;;;;
 ;;;;
