;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 29 MINISTERIO DE DERECHOS SOCIALES, CONSUMO Y AGENDA 2030;
;Programa: 231F Otros servicios sociales del Estado;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;29.03;29.05;29.06;29.102;;Total;
1;GASTOS DE PERSONAL;1.711,10;3.273,28;1.930,51;663,28;;7.578,17;
10; Altos cargos;80,30;61,04;61,04;;;202,38;
11; Personal eventual;253,20;;;;;253,20;
12; Funcionarios;985,04;2.461,61;1.529,63;543,68;;5.519,96;
13; Laborales;51,32;256,72;;;;308,04;
15; Incentivos al rendimiento;;;;72,21;;72,21;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;341,24;493,91;339,84;47,39;;1.222,38;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;261,33;907,29;418,50;371,92;;1.959,04;
21; Reparaciones, mantenimiento y conservación;;;;57,80;;57,80;
22; Material, suministros y otros;186,80;875,35;396,37;285,12;;1.743,64;
23; Indemnizaciones por razón del servicio;74,53;31,94;22,13;9,00;;137,60;
24; Gastos de publicaciones;;;;20,00;;20,00;
4;TRANSFERENCIAS CORRIENTES;;428.938,44;5.420,00;8.778,91;;443.137,35;
44; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;105,00;;;;105,00;
45; A Comunidades Autónomas;;320.440,07;;333,36;;320.773,43;
46; A Entidades Locales;;26,00;;;;26,00;
48; A familias e instituciones sin fines de lucro;;108.367,37;5.420,00;8.445,55;;122.232,92;
6;INVERSIONES REALES;;;;57,50;;57,50;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;;;;27,00;;27,00;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;;;;30,50;;30,50;
7;TRANSFERENCIAS DE CAPITAL;1.093,00;7.000,00;;200,00;;8.293,00;
76; A Entidades Locales;1.093,00;7.000,00;;;;8.093,00;
78; A familias e instituciones sin fines de lucro;;;;200,00;;200,00;
8;ACTIVOS FINANCIEROS;;;;6,51;;6,51;
83; Concesión de préstamos fuera del Sector Público;;;;6,51;;6,51;
;TOTAL;3.065,43;440.119,01;7.769,01;10.078,12;;461.031,57;
;;



