;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 29 MINISTERIO DE DERECHOS SOCIALES, CONSUMO Y AGENDA 2030;
;Programa: 313C Seguridad alimentaria y nutrición;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;29.101;;Total;
1;GASTOS DE PERSONAL;10.990,30;;10.990,30;
12; Funcionarios;6.962,52;;6.962,52;
13; Laborales;1.108,73;;1.108,73;
15; Incentivos al rendimiento;836,98;;836,98;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;2.082,07;;2.082,07;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;5.350,37;;5.350,37;
20; Arrendamientos y cánones;65,35;;65,35;
21; Reparaciones, mantenimiento y conservación;726,47;;726,47;
22; Material, suministros y otros;4.282,02;;4.282,02;
23; Indemnizaciones por razón del servicio;235,53;;235,53;
24; Gastos de publicaciones;41,00;;41,00;
3;GASTOS FINANCIEROS;5,00;;5,00;
35; Intereses de demora y otros gastos financieros;5,00;;5,00;
6;INVERSIONES REALES;3.168,72;;3.168,72;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;972,21;;972,21;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;1.996,51;;1.996,51;
64; Gastos de inversiones de carácter inmaterial;200,00;;200,00;
8;ACTIVOS FINANCIEROS;30,00;;30,00;
83; Concesión de préstamos fuera del Sector Público;30,00;;30,00;
;TOTAL;19.544,39;;19.544,39;
;;



