Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
29.01;12;Funcionarios;845,94;845.940,00
29.01;22;Material, suministros y otros;899;899.000,00
29.01;23;Indemnizaciones por razón del servicio;41,2;41.200,00
29.01;6;Inversiones reales;20,00;20.000,00
29.01;83;Concesión de préstamos fuera del Sector Público;50;50.000,00
29.01;831;Préstamos a largo plazo;50;50.000,00
—;—;Total 29.01 – Ministerio, Subsecretaría y Servicios Generales;1.856,14;1.856.140,00
29.02;12;Funcionarios;158,4;158.400,00
29.02;22;Material, suministros y otros;21;21.000,00
29.02;23;Indemnizaciones por razón del servicio;13;13.000,00
29.02;24;Gastos de publicaciones;35;35.000,00
—;—;Total 29.02 – Secretaría General Técnica;227,40;227.400,00
29.08;10;Altos cargos;71,16;71.160,00
29.08;12;Funcionarios;244,9;244.900,00
29.08;16;Cuotas, prestaciones y gastos sociales;70,03;70.030,00
29.08;16000;Seguridad Social;70,03;70.030,00
29.08;22;Material, suministros y otros;874,68;874.680,00
29.08;22601;Atenciones protocolarias y representativas;4,68;4.680,00
29.08;23;Indemnizaciones por razón del servicio;60;60.000,00
—;—;Total 29.08 – Secretaría General de Consumo y Juego;1.320,77;1.320.770,00
—;—;TOTAL PROGRAMA 498M – Dirección y Servicios Generales de Consumo;3.404,31;3.404.310,00
