;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 29 MINISTERIO DE DERECHOS SOCIALES, CONSUMO Y AGENDA 2030;
;Programa: 496M Regulación del juego;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;29.10;;Total;
1;GASTOS DE PERSONAL;2.332,15;;2.332,15;
10; Altos cargos;61,04;;61,04;
12; Funcionarios;1.767,90;;1.767,90;
13; Laborales;283,21;;283,21;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;220,00;;220,00;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;4.065,60;;4.065,60;
22; Material, suministros y otros;4.036,87;;4.036,87;
23; Indemnizaciones por razón del servicio;28,73;;28,73;
4;TRANSFERENCIAS CORRIENTES;2.225,00;;2.225,00;
45; A Comunidades Autónomas;1.400,00;;1.400,00;
48; A familias e instituciones sin fines de lucro;825,00;;825,00;
6;INVERSIONES REALES;3.741,85;;3.741,85;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;411,00;;411,00;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;1.230,85;;1.230,85;
64; Gastos de inversiones de carácter inmaterial;2.100,00;;2.100,00;
;TOTAL;12.364,60;;12.364,60;
;;



