;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 29 MINISTERIO DE DERECHOS SOCIALES, CONSUMO Y AGENDA 2030;
;Programa: 231G Atención a la infancia y a las familias;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;29.05;;Total;
1;GASTOS DE PERSONAL;721,00;;721,00;
12; Funcionarios;530,92;;530,92;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;190,08;;190,08;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;1.308,05;;1.308,05;
22; Material, suministros y otros;1.261,69;;1.261,69;
23; Indemnizaciones por razón del servicio;46,36;;46,36;
4;TRANSFERENCIAS CORRIENTES;1.083,93;;1.083,93;
48; A familias e instituciones sin fines de lucro;1.083,93;;1.083,93;
;TOTAL;3.112,98;;3.112,98;
;;



