Económica;Explicación;29.01;29.02;29.08;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;845,94;158,4;386,09;1.390,43;1.390.430,00
10;Altos cargos;—;—;71,16;71,16;71.160,00
12;Funcionarios;845,94;158,4;244,9;1.249,24;1.249.240,00
16;Cuotas, prestaciones y gastos sociales;—;—;70,03;70,03;70.030,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;940,2;69;934,68;1.943,88;1.943.880,00
22;Material, suministros y otros;899,00;21;874,68;1.794,68;1.794.680,00
23;Indemnizaciones por razón del servicio;41,2;13;60;114,2;114.200,00
24;Gastos de publicaciones;—;35;—;35;35.000,00
6;INVERSIONES REALES;20;—;—;20;20.000,00
62;Inversión nueva asociada al funcionamiento operativo;20;—;—;20;20.000,00
8;ACTIVOS FINANCIEROS;50;—;—;50;50.000,00
83;Concesión de préstamos fuera del Sector Público;50;—;—;50;50.000,00
—;TOTAL PROGRAMA 498M – Dirección y Servicios Generales de Consumo;1.856,14;227,4;1.320,77;3.404,31;3.404.310,00
