;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 29 MINISTERIO DE DERECHOS SOCIALES, CONSUMO Y AGENDA 2030;
;Programa: 492O Protección y promoción de los derechos de los consumidores y usuarios;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;29.09;;Total;
1;GASTOS DE PERSONAL;8.405,13;;8.405,13;
10; Altos cargos;61,04;;61,04;
12; Funcionarios;5.643,09;;5.643,09;
13; Laborales;818,56;;818,56;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;1.882,44;;1.882,44;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;2.584,19;;2.584,19;
20; Arrendamientos y cánones;2,00;;2,00;
21; Reparaciones, mantenimiento y conservación;352,91;;352,91;
22; Material, suministros y otros;2.040,60;;2.040,60;
23; Indemnizaciones por razón del servicio;164,58;;164,58;
24; Gastos de publicaciones;24,10;;24,10;
3;GASTOS FINANCIEROS;5,00;;5,00;
35; Intereses de demora y otros gastos financieros;5,00;;5,00;
4;TRANSFERENCIAS CORRIENTES;5.585,46;;5.585,46;
45; A Comunidades Autónomas;1.230,18;;1.230,18;
46; A Entidades Locales;1.200,48;;1.200,48;
48; A familias e instituciones sin fines de lucro;3.154,80;;3.154,80;
6;INVERSIONES REALES;980,00;;980,00;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;650,00;;650,00;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;320,00;;320,00;
64; Gastos de inversiones de carácter inmaterial;10,00;;10,00;
;TOTAL;17.559,78;;17.559,78;
;;



