;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 29 MINISTERIO DE DERECHOS SOCIALES, CONSUMO Y AGENDA 2030;
;Programa: 498M Dirección y Servicios Generales de Consumo;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;29.01;29.02;29.08;;;Total;
1;GASTOS DE PERSONAL;845,94;158,40;386,09;;;1.390,43;
10; Altos cargos;;;71,16;;;71,16;
12; Funcionarios;845,94;158,40;244,90;;;1.249,24;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;;;70,03;;;70,03;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;940,20;69,00;934,68;;;1.943,88;
22; Material, suministros y otros;899,00;21,00;874,68;;;1.794,68;
23; Indemnizaciones por razón del servicio;41,20;13,00;60,00;;;114,20;
24; Gastos de publicaciones;;35,00;;;;35,00;
6;INVERSIONES REALES;20,00;;;;;20,00;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;20,00;;;;;20,00;
8;ACTIVOS FINANCIEROS;50,00;;;;;50,00;
83; Concesión de préstamos fuera del Sector Público;50,00;;;;;50,00;
;TOTAL;1.856,14;227,40;1.320,77;;;3.404,31;
;;



