Económica;Explicación;29.01;29.02;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;17.610,15;2.069,02;19.679,17;19.679.170,00
10;Altos cargos;208,56;61,04;269,60;269.600,00
11;Personal eventual;517,75;—;517,75;517.750,00
12;Funcionarios;9.640,93;1.645,42;11.286,35;11.286.350,00
13;Laborales;2.177,35;—;2.177,35;2.177.350,00
15;Incentivos al rendimiento;3.041,11;—;3.041,11;3.041.110,00
16;Cuotas, prestaciones y gastos sociales;2.024,45;362,56;2.387,01;2.387.010,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;7.728,74;210,95;7.939,69;7.939.690,00
20;Arrendamientos y cánones;1.042,30;—;1.042,30;1.042.300,00
21;Reparaciones, mantenimiento y conservación;465,86;—;465,86;465.860,00
22;Material, suministros y otros;5.892,63;102,40;5.995,03;5.995.030,00
23;Indemnizaciones por razón del servicio;327,95;87,46;415,41;415.410,00
24;Gastos de publicaciones;—;21,09;21,09;21.090,00
4;TRANSFERENCIAS CORRIENTES;—;11,3;11,30;11.300,00
49;Al exterior;—;11,3;11,30;11.300,00
6;INVERSIONES REALES;1.942,00;—;1.942,00;1.942.000,00
62;Inversión nueva asociada al funcionamiento operativo;469,96;—;469,96;469.960,00
63;Inversión de reposición asociada al funcionamiento operativo;1.072,04;—;1.072,04;1.072.040,00
64;Gastos de inversiones de carácter inmaterial;400;—;400,00;400.000,00
8;ACTIVOS FINANCIEROS;42,88;—;42,88;42.880,00
83;Concesión de préstamos fuera del Sector Público;42,88;—;42,88;42.880,00
—;TOTAL PROGRAMA 239N – Dirección y Servicios Generales;27.323,77;2.291,27;29.615,04;29.615.040,00
