Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
29.04;10;Altos cargos;61,04;61.040,00
29.04;12;Funcionarios;391,47;391.470,00
29.04;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;115,3;115.300,00
29.04;16000;Seguridad Social;115,3;115.300,00
;;TOTAL GASTOS DE PERSONAL;567,81;567.810,00
29.04;22;Material, suministros y otros;2.268,90;2.268.900,00
29.04;22601;Atenciones protocolarias y representativas;2,4;2.400,00
29.04;23;Indemnizaciones por razón del servicio;30;30.000,00
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;2.298,90;2.298.900,00
29.04;46;A Entidades Locales;1.950,00;1.950.000,00
29.04;461;Subvenciones a entidades locales para gestión de colonias felinas;1.950,00;1.950.000,00
29.04;48;A familias e instituciones sin fines de lucro;2.665,00;2.665.000,00
29.04;481;Subvenciones a entidades de protección animal;2.000,00;2.000.000,00
29.04;482;Premios Artísticos Amigos de los Animales;7,5;7.500,00
29.04;483;Premios a Proyectos Innovadores de Experimentación Alternativa;100;100.000,00
29.04;484;Subvención a FEMP – Programa VIOPET;350;350.000,00
29.04;485;Subvención a FAADA – ayuda a personas vulnerables con animales;154,5;154.500,00
29.04;486;Subvención a proyectos audiovisuales para protección animal;53;53.000,00
;;TOTAL TRANSFERENCIAS CORRIENTES;4.615,00;4.615.000,00
;;Total General Programa 232F;7.481,71;7.481.710,00
