;PRESUPUESTOS GENERALES DEL ESTADO;
;ORGANISMOS AUTÓNOMOS;
;Presupuesto de gastos;
;;
;Sección: 14 MINISTERIO DE DEFENSA;
;Organismo: 101 INSTITUTO NACIONAL DE TÉCNICA AEROESPACIAL ESTEBAN TERRADAS;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
;Programa;Económica;Explicación;;Total;
v;;;INSTITUTO NACIONAL DE TÉCNICA AEROESPACIAL ESTEBAN TERRADAS;;;
v;464A;;Investigación y estudios de las Fuerzas Armadas;;;
v;;1;GASTOS DE PERSONAL;;;
;;10;Altos cargos;;61,04;
;;100;Retribuciones básicas y otras remuneraciones;;61,04;
;;10000;  Retribuciones básicas;18,91;;
;;10001;  Retribuciones complementarias;42,13;;
;;12;Funcionarios;;44.880,20;
;;120;Retribuciones básicas;;23.208,28;
;;12000;  Sueldos del grupo A1 y grupo A;9.691,33;;
;;12001;  Sueldos del grupo A2 y grupo B;3.059,02;;
;;12002;  Sueldos del grupo C1 y grupo C;2.161,60;;
;;12003;  Sueldos del grupo C2 y grupo D;104,40;;
;;12005;  Trienios;3.868,93;;
;;12006;  Pagas extraordinarias;4.323,00;;
;;121;Retribuciones complementarias;;21.609,27;
;;12100;  Complemento de destino;9.297,14;;
;;12101;  Complemento específico;11.525,77;;
;;12103;  Otros complementos;786,36;;
;;122;Retribuciones en especie;;62,65;
;;12201;  Vestuario;62,65;;
;;13;Laborales;;12.977,71;
;;130;Laboral fijo;;9.993,74;
;;13000;  Retribuciones básicas;8.138,77;;
;;13001;  Otras remuneraciones;1.854,97;;
;;131;Laboral eventual;;2.983,97;
v;;15;Incentivos al rendimiento;;3.992,23;
v;;150;Productividad;;2.737,84;
v;;151;Gratificaciones;;267,67;
v;;153;Complemento de dedicación especial;;986,72;
;;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;16.377,17;
;;160;Cuotas sociales;;15.837,76;
v;;16000;  Seguridad Social;15.837,76;;
;;162;Gastos sociales del personal;;539,41;
