Orgánica;Explicación;Cap. 1;Cap. 2;Cap. 3;Cap. 4;Cap. 5;Cap. 6;Cap. 7;Cap. 8;Cap. 9;Total;Total (euros)
1;CASA DE SU MAJESTAD EL REY;;;;8.431,15;;;;;;8.431,15;8.431.150 €
01.01; CASA DE SU MAJESTAD EL REY;;;;8.431,15;;;;;;8.431,15;8.431.150 €
2;CORTES GENERALES;164.221,54;73.644,54;398,2;23.579,73;;6.113,16;;25;25;268.007,17;268.007.170 €
02.01; CORTES GENERALES;65.470,12;2.886,87;3,5;3.692,36;;;;;;72.052,85;72.052.850 €
02.02; CONGRESO DE LOS DIPUTADOS;50.454,10;45.418,00;4;11.854,30;;2.690,90;;;;110.421,30;110.421.300 €
02.03; SENADO;31.327,92;22.018,83;388;7.826,44;;2.525,26;;25;25;64.136,45;64.136.450 €
02.04; JUNTA ELECTORAL CENTRAL;3,9;432,74;0,2;41,93;;;;;;478,77;478.770 €
02.05; DEFENSOR DEL PUEBLO;16.965,50;2.888,10;2,5;164,7;;897;;;;20.917,80;20.917.800 €
3;TRIBUNAL DE CUENTAS;68.519,87;6.832,27;;8,5;;2.876,52;;135,2;;78.372,36;78.372.360 €
03.01; TRIBUNAL, FISCALÍA Y SERVICIOS GENERALES;68.519,87;6.832,27;;8,5;;2.876,52;;135,2;;78.372,36;78.372.360 €
4;TRIBUNAL CONSTITUCIONAL;21.252,60;6.658,86;3;1.323,54;;1.200,00;;48;;30.486,00;30.486.000 €
04.01; TRIBUNAL CONSTITUCIONAL;21.252,60;6.658,86;3;1.323,54;;1.200,00;;48;;30.486,00;30.486.000 €
5;CONSEJO DE ESTADO;11.170,76;2.874,10;;232,96;;400;;9,02;;14.686,84;14.686.840 €
05.01; CONSEJO DE ESTADO;11.170,76;2.874,10;;232,96;;400;;9,02;;14.686,84;14.686.840 €
6;DEUDA PÚBLICA;;;31.275.104,09;;;;;;97.521.737,01;128.796.841,10;128.796.841.100 €
06.01; BONOS, OBLIGACIONES Y OTRAS DEUDAS;;;29.249.153,96;;;;;;90.986.637,89;120.235.791,85;120.235.791.850 €
06.02; PRÉSTAMOS;;;637.514,96;;;;;;4.091.430,14;4.728.945,10;4.728.945.100 €
06.03; LETRAS DEL TESORO;;;1.100.000,00;;;;;;1.000,00;1.101.000,00;1.101.000.000 €
06.04; DEUDAS ASUMIDAS;;;93.422,17;;;;;;2.442.643,98;2.536.066,15;2.536.066.150 €
