Servicio;Programa;Económica;Explicación;Total (miles euros);Total (euros)
1;211B;4;TRANSFERENCIAS CORRIENTES;20.369.000,89;20.369.000.890,00
1;211B;48;A familias e instituciones sin fines de lucro;20.369.000,89;20.369.000.890,00
1;211B;482;Prestaciones sociales;20.369.000,89;20.369.000.890,00
—;—;—;TOTAL Pensiones de Clases Pasivas;20.369.000,89;20.369.000.890,00
1;211C;4;TRANSFERENCIAS CORRIENTES;49.447,74;49.447.740,00
1;211C;48;A familias e instituciones sin fines de lucro;49.447,74;49.447.740,00
1;211C;480;Otras pensiones y prestaciones;49.447,74;49.447.740,00
—;—;—;TOTAL Otras pensiones y prestaciones de Clases Pasivas;49.447,74;49.447.740,00
1;212B;4;TRANSFERENCIAS CORRIENTES;81.093,93;81.093.930,00
1;212B;48;A familias e instituciones sin fines de lucro;81.093,93;81.093.930,00
1;212B;481;Pensiones e indemnizaciones de guerra;81.093,93;81.093.930,00
—;—;—;TOTAL Pensiones de guerra;81.093,93;81.093.930,00
1;000X;4;TRANSFERENCIAS CORRIENTES;249,75;249.750,00
1;000X;42;A la Seguridad Social;249,75;249.750,00
1;000X;420;Aportación extraordinaria por pensiones Fuerzas Armadas y Seguridad;249,75;249.750,00
—;—;—;TOTAL Transferencias y libramientos internos;249,75;249.750,00
—;—;—;TOTAL PENSIONES Y OTRAS PRESTACIONES DE CLASES PASIVAS;20.499.792,31;20.499.792.310,00
—;—;—;TOTAL CLASES PASIVAS;20.499.792,31;20.499.792.310,00
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
