;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;Resumen general por servicios y artículos del presupuesto de gastos;
;;
;Sección: 07 CLASES PASIVAS;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;07.01;;Total;
4;TRANSFERENCIAS CORRIENTES;20.499.542,56;;20.499.542,56;
48; A familias e instituciones sin fines de lucro;20.499.542,56;;20.499.542,56;
;TOTAL CONSOLIDADO;20.499.542,56;;20.499.542,56;
4;TRANSFERENCIAS CORRIENTES;249,75;;249,75;
42; A la Seguridad Social;249,75;;249,75;
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;249,75;;249,75;
;TOTAL;20.499.792,31;;20.499.792,31;
;;



