Programa;Económica;Explicación;Total (miles euros);Total (euros)
462M;10;Altos cargos;61,05;61.050,00
462M;100;Retribuciones básicas y otras remuneraciones;61,05;61.050,00
462M;10000;Retribuciones básicas;18,92;18.920,00
462M;10001;Retribuciones complementarias;42,13;42.130,00
462M;11;Personal eventual;207,94;207.940,00
462M;110;Retribuciones básicas y otras remuneraciones;207,94;207.940,00
462M;11000;Retribuciones básicas;65,58;65.580,00
462M;11001;Retribuciones complementarias;142,36;142.360,00
462M;12;Funcionarios;1.975,16;1.975.160,00
462M;120;Retribuciones básicas;922,14;922.140,00
462M;12000;Sueldos grupo A1 y A;297,29;297.290,00
462M;12001;Sueldos grupo A2 y B;154,24;154.240,00
462M;12002;Sueldos grupo C1 y C;77,21;77.210,00
462M;12003;Sueldos grupo C2 y D;120,48;120.480,00
462M;12005;Trienios;105;105.000,00
462M;12006;Pagas extraordinarias;167,92;167.920,00
462M;121;Retribuciones complementarias;1.053,02;1.053.020,00
462M;12100;Complemento de destino;447,07;447.070,00
462M;12101;Complemento específico;605,95;605.950,00
462M;13;Laborales;1.419,09;1.419.090,00
462M;130;Laboral fijo;1.419,09;1.419.090,00
462M;13000;Retribuciones básicas;1.268,48;1.268.480,00
462M;13001;Otras remuneraciones;150,61;150.610,00
462M;15;Incentivos al rendimiento;378,53;378.530,00
462M;150;Productividad;376,2;376.200,00
462M;151;Gratificaciones;2,33;2.330,00
462M;16;Cuotas y gastos sociales;729,43;729.430,00
462M;160;Cuotas sociales;651,29;651.290,00
462M;16000;Seguridad Social;651,29;651.290,00
462M;162;Gastos sociales del personal;78,14;78.140,00
462M;16200;Formación y perfeccionamiento;12,33;12.330,00
462M;16204;Acción social;65,81;65.810,00
462M;;TOTAL GASTOS DE PERSONAL;4.771,20;4.771.200,00
462M;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;6.582,89;6.582.890,00
462M;;TOTAL TRANSFERENCIAS CORRIENTES;258;258.000,00
462M;;TOTAL INVERSIONES REALES;1.035,00;1.035.000,00
462M;;TOTAL ACTIVOS FINANCIEROS;12,02;12.020,00
;;TOTAL CENTRO DE INVESTIGACIONES SOCIOLÓGICAS;12.659,11;12.659.110,00
