;PRESUPUESTOS GENERALES DEL ESTADO;
;ORGANISMOS AUTÓNOMOS;
;Presupuesto de gastos;
;;
;Sección: 13 MINISTERIO DE LA PRESIDENCIA, JUSTICIA Y RELACIONES CON LAS CORTES;
;Organismo: 104 CENTRO DE INVESTIGACIONES SOCIOLÓGICAS;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
;Programa;Económica;Explicación;;Total;
v;;;CENTRO DE INVESTIGACIONES SOCIOLÓGICAS;;;
v;462M;;Investigación y estudios sociológicos y constitucionales;;;
v;;1;GASTOS DE PERSONAL;;;
;;10;Altos cargos;;61,05;
;;100;Retribuciones básicas y otras remuneraciones;;61,05;
;;10000;  Retribuciones básicas;18,92;;
;;10001;  Retribuciones complementarias;42,13;;
;;11;Personal eventual;;207,94;
;;110;Retribuciones básicas y otras remuneraciones;;207,94;
;;11000;  Retribuciones básicas;65,58;;
;;11001;  Retribuciones complementarias;142,36;;
;;12;Funcionarios;;1.975,16;
;;120;Retribuciones básicas;;922,14;
;;12000;  Sueldos del grupo A1 y grupo A;297,29;;
;;12001;  Sueldos del grupo A2 y grupo B;154,24;;
;;12002;  Sueldos del grupo C1 y grupo C;77,21;;
;;12003;  Sueldos del grupo C2 y grupo D;120,48;;
;;12005;  Trienios;105,00;;
;;12006;  Pagas extraordinarias;167,92;;
;;121;Retribuciones complementarias;;1.053,02;
;;12100;  Complemento de destino;447,07;;
;;12101;  Complemento específico;605,95;;
;;13;Laborales;;1.419,09;
;;130;Laboral fijo;;1.419,09;
;;13000;  Retribuciones básicas;1.268,48;;
;;13001;  Otras remuneraciones;150,61;;
v;;15;Incentivos al rendimiento;;378,53;
v;;150;Productividad;;376,20;
v;;151;Gratificaciones;;2,33;
;;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;729,43;
;;160;Cuotas sociales;;651,29;
v;;16000;  Seguridad Social;651,29;;
;;162;Gastos sociales del personal;;78,14;
v;;16200;  Formación y perfeccionamiento del personal;12,33;;
v;;16204;  Acción social;65,81;;
;;;TOTAL GASTOS DE PERSONAL;;4.771,20;
 ; ;;;;;
v;;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;;20;Arrendamientos y cánones;;2,00;
;;205;Arrendamientos de mobiliario y enseres;;1,00;
;;206;Arrendamientos de equipos para procesos de información;;1,00;
;;21;Reparaciones, mantenimiento y conservación;;199,88;
;;212;Edificios y otras construcciones;;97,97;
;;213;Maquinaria, instalaciones y utillaje;;10,00;
;;215;Mobiliario y enseres;;1,00;
;;216;Equipos para procesos de la información;;90,91;
;;22;Material, suministros y otros;;6.146,01;
;;220;Material de oficina;;185,00;
;;22000;  Ordinario no inventariable;35,00;;
;;22001;  Prensa, revistas, libros y otras publicaciones;10,00;;
;;22002;  Material informático no inventariable;140,00;;
;;221;Suministros;;140,34;
;;22100;  Energía eléctrica;132,34;;
;;22101;  Agua;2,00;;
;;22104;  Vestuario;3,00;;
;;22106;  Productos farmacéuticos y material sanitario;1,00;;
;;22199;  Otros suministros;2,00;;
;;222;Comunicaciones;;11,12;
;;22200;  Servicios de telecomunicaciones;9,12;;
;;22201;  Postales y mensajería;1,00;;
;;22299;  Otras;1,00;;
;;223;Transportes;;3,00;
;;224;Primas de seguros;;1,00;
;;225;Tributos;;6,20;
v;;22502;  Locales;6,20;;
;;226;Gastos diversos;;263,00;
v;;22601;  Atenciones protocolarias y representativas;3,00;;
;;22602;  Publicidad y propaganda;20,00;;
;;22603;  Jurídicos, contenciosos;90,00;;
;;22606;  Reuniones, conferencias y cursos;150,00;;
;;227;Trabajos realizados por otras empresas y profesionales;;5.536,35;
;;22701;  Seguridad;58,95;;
;;22706;  Estudios y trabajos técnicos;5.477,40;;
;;23;Indemnizaciones por razón del servicio;;85,00;
;;230;Dietas;;5,00;
;;231;Locomoción;;10,00;
;;233;Otras indemnizaciones;;70,00;
;;24;Gastos de publicaciones;;150,00;
;;240;Gastos de edición y distribución;;150,00;
;;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;6.582,89;
 ; ;;;;;
v;;4;TRANSFERENCIAS CORRIENTES;;;
v;;48;A familias e instituciones sin fines de lucro;;258,00;
v;;481;Becas a postgraduados;;258,00;
;;;TOTAL TRANSFERENCIAS CORRIENTES;;258,00;
 ; ;;;;;
v;;6;INVERSIONES REALES;;;
;;62;Inversión nueva asociada al funcionamiento operativo de los servicios;;100,00;
;;620;Inversión nueva asociada al funcionamiento operativo de los servicios;;100,00;
;;63;Inversión de reposición asociada al funcionamiento operativo de los servicios;;685,00;
;;630;Inversión de reposición asociada al funcionamiento operativo de los servicios;;685,00;
;;64;Gastos de inversiones de carácter inmaterial;;250,00;
;;640;Gastos en inversiones de carácter inmaterial;;250,00;
;;;TOTAL INVERSIONES REALES;;1.035,00;
 ; ;;;;;
v;;8;ACTIVOS FINANCIEROS;;;
v;;83;Concesión de préstamos fuera del Sector Público;;12,02;
v;;830;Préstamos a corto plazo;;6,01;
;;83008;  Familias e instituciones sin fines de lucro;6,01;;
v;;831;Préstamos a largo plazo;;6,01;
;;83108;  Familias e instituciones sin fines de lucro;6,01;;
;;;TOTAL ACTIVOS FINANCIEROS;;12,02;
 ; ;;;;;
;;;TOTAL Investigación y estudios sociológicos y constitucionales;;12.659,11;
 ; ;;;;;
 ; ;;;;;
;;;TOTAL CENTRO DE INVESTIGACIONES SOCIOLÓGICAS;;12.659,11;
;;



