Clasificación por programas;Explicación;Estado ;Total (miles euros);Total (euros)
212A;Pensiones no contributivas y prestaciones asistenciales;4.100,00;4.100,00;4.100.000,00
219N;Gestión de pensiones de Clases Pasivas;4.967,04;4.967,04;4.967.040,00
231B;Acciones en favor de los emigrantes;60.502,19;60.502,19;60.502.190,00
231G;Atención a la infancia y a las familias;1.800,00;1.800,00;1.800.000,00
231H;Acciones en favor de los inmigrantes;745.412,85;745.412,85;745.412.850,00
232E;Análisis y definición de objetivos y políticas de Inclusión;2.751,84;2.751,84;2.751.840,00
291M;Dirección y Servicios Generales de la Inclusión, Seguridad Social y Migración;67.098,63;67.098,63;67.098.630,00
—;TOTAL CONSOLIDADO (Capítulos 1 a 8);—;886.632,55;886.632.550,00
000X;Transferencias y libramientos internos;—;44.726.975,67;44.726.975.670,00
—;TOTAL GENERAL;—;45.613.608,22;45.613.608.220,00
