;PRESUPUESTOS GENERALES DEL ESTADO;
;ORGANISMOS AUTÓNOMOS;
;Presupuesto de gastos;
;;
;Sección: 16 MINISTERIO DEL INTERIOR;
;Organismo: 103 CENTRO UNIVERSITARIO DE FORMACIÓN DE LA POLICÍA NACIONAL;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
;Programa;Económica;Explicación;;Total;
v;;;CENTRO UNIVERSITARIO DE FORMACIÓN DE LA POLICÍA NACIONAL;;;
v;131N;;Formación de Fuerzas y Cuerpos de Seguridad del Estado;;;
v;;1;GASTOS DE PERSONAL;;;
;;10;Altos cargos;;61,03;
;;100;Retribuciones básicas y otras remuneraciones;;61,03;
;;10000;  Retribuciones básicas;18,91;;
;;10001;  Retribuciones complementarias;42,12;;
;;12;Funcionarios;;714,61;
;;120;Retribuciones básicas;;232,86;
;;12000;  Sueldos del grupo A1 y grupo A;118,91;;
;;12001;  Sueldos del grupo A2 y grupo B;25,71;;
;;12002;  Sueldos del grupo C1 y grupo C;28,95;;
;;12003;  Sueldos del grupo C2 y grupo D;16,06;;
;;12006;  Pagas extraordinarias;43,23;;
;;121;Retribuciones complementarias;;481,75;
;;12100;  Complemento de destino;14,67;;
;;12101;  Complemento específico;13,11;;
;;12104;  Complemento de destino Fuerzas y Cuerpos de Seguridad;111,68;;
;;12105;  Complemento específico general Fuerzas y Cuerpos de Seguridad;122,54;;
;;12106;  Complemento específico singular Fuerzas y Cuerpos de Seguridad;219,75;;
;;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;146,46;
;;160;Cuotas sociales;;146,46;
v;;16000;  Seguridad Social;146,46;;
;;;TOTAL GASTOS DE PERSONAL;;922,10;
 ; ;;;;;
v;;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;;21;Reparaciones, mantenimiento y conservación;;24,00;
;;212;Edificios y otras construcciones;;12,00;
;;216;Equipos para procesos de la información;;12,00;
;;22;Material, suministros y otros;;2.719,90;
;;220;Material de oficina;;6,00;
;;22000;  Ordinario no inventariable;6,00;;
;;221;Suministros;;35,00;
;;22100;  Energía eléctrica;18,00;;
;;22101;  Agua;3,50;;
;;22103;  Combustible;8,00;;
;;22199;  Otros suministros;5,50;;
;;222;Comunicaciones;;35,68;
;;22200;  Servicios de telecomunicaciones;35,68;;
;;226;Gastos diversos;;2.493,22;
;;22606;  Reuniones, conferencias y cursos;500,00;;
;;22699;  Otros;1.993,22;;
;;227;Trabajos realizados por otras empresas y profesionales;;150,00;
;;22700;  Limpieza y aseo;50,00;;
;;22706;  Estudios y trabajos técnicos;100,00;;
;;23;Indemnizaciones por razón del servicio;;84,00;
;;230;Dietas;;84,00;
;;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;2.827,90;
 ; ;;;;;
v;;6;INVERSIONES REALES;;;
;;62;Inversión nueva asociada al funcionamiento operativo de los servicios;;250,00;
;;620;Inversión nueva asociada al funcionamiento operativo de los servicios;;250,00;
;;;TOTAL INVERSIONES REALES;;250,00;
 ; ;;;;;
;;;TOTAL Formación de Fuerzas y Cuerpos de Seguridad del Estado;;4.000,00;
 ; ;;;;;
 ; ;;;;;
;;;TOTAL CENTRO UNIVERSITARIO DE FORMACIÓN DE LA POLICÍA NACIONAL;;4.000,00;
;;



