Clasificación por programas;Explicación;Cap. 1;Cap. 2;Cap. 3;Cap. 4;Cap. 6;Cap. 7;Cap. 8;Cap. 9;Total (miles euros);Total (euros)
425A;Normativa y desarrollo energético;—;—;—;—;—;—;3.514.141,75;—;3.514.141,75;3.514.141.750,00
43MD;C13.I04 Apoyo al Comercio;—;734,39;—;900;—;121.515,61;—;—;123.150,00;123.150.000,00
43ME;C13.I05 Internacionalización. PYMES;—;1.000,00;—;2.255,00;2.350,00;66.745,00;970.000,00;—;1.042.350,00;1.042.350.000,00
431A;Promoción comercial e internacionalización de la empresa;78.948,07;15.381,06;116,93;16.641,77;1.400,00;66.816,29;230.146,50;—;409.450,62;409.450.620,00
431N;Ordenación del comercio exterior;3.842,23;794,1;—;4.776,12;420;—;—;—;9.832,45;9.832.450,00
431O;Ordenación y modernización de estructuras comerciales;7.085,44;652,13;—;134;5;2.727,50;—;—;10.604,07;10.604.070,00
491N;Servicio postal universal;—;—;—;110.000,00;—;—;—;—;110.000,00;110.000.000,00
492M;Defensa de la competencia y regulación de sectores productivos;35.947,14;21.216,49;298,5;690,38;4.079,74;—;60,4;—;62.292,65;62.292.650,00
493M;Dirección, control y gestión de seguros;11.044,95;2.626,07;—;1.999,93;3.267,47;—;—;—;18.938,42;18.938.420,00
493O;Regulación contable y de auditorías;5.679,20;3.768,50;0,6;416,95;629,06;—;20;—;10.514,31;10.514.310,00
92KA;Modernización de la AGE. Servicios de carácter general;—;—;—;—;2.606,83;—;—;—;2.606,83;2.606.830,00
923C;Elaboración y difusión estadística;121.426,15;29.454,40;36,31;518,58;38.793,65;2.312,46;247,62;—;192.789,17;192.789.170,00
923O;Gestión de la Deuda y Tesorería del Estado;8.937,94;35.623,07;15.060,44;722,22;846,36;—;1;1;61.192,03;61.192.030,00
923P;Relaciones con Instituciones Financieras Multilaterales;821,28;—;—;382.464,54;—;—;136.548,84;—;519.834,66;519.834.660,00
923Q;Dirección y Servicios Generales de Economía, Comercio y Empresa;42.245,33;20.869,59;17,65;1.000,00;5.271,15;—;191,32;—;69.595,04;69.595.040,00
931M;Previsión y política económica;4.609,20;420,1;12.630,00;2.271,00;4,49;372,07;1;—;20.307,86;20.307.860,00
000X;Transferencias y libramientos internos;—;—;—;194.149,65;—;27.966,83;—;—;222.116,48;222.116.480,00
—;TOTAL CONSOLIDADO (Cap. 1 a 9);320.586,93;132.539,90;28.160,43;718.040,14;60.573,75;3.802.597,51;1.337.216,68;1;6.399.716,34;6.399.716.340,00
