Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
15.01;10;Altos cargos;269,6;269.600,00
15.01;11;Personal eventual;321,42;321.420,00
15.01;12;Funcionarios;101.715,79;101.715.790,00
15.01;13;Laborales;5.330,49;5.330.490,00
15.01;15;Incentivos al rendimiento;16.742,12;16.742.120,00
15.01;150;Productividad;16.081,88;16.081.880,00
15.01;151;Gratificaciones;660,24;660.240,00
15.01;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;5.837,75;5.837.750,00
—;—;TOTAL GASTOS DE PERSONAL;130.217,17;130.217.170,00
15.01;20;Arrendamientos y cánones;21.101,70;21.101.700,00
15.01;202;Arrendamientos de edificios y otras construcciones;21.085,06;21.085.060,00
15.01;21;Reparaciones, mantenimiento y conservación;5.451,11;5.451.110,00
15.01;22;Material, suministros y otros;38.969,85;38.969.850,00
15.01;22109;Labores Fábrica Nacional Moneda y Timbre;30;30.000,00
15.01;22502;Locales;3.686,27;3.686.270,00
15.01;22601;Atenciones protocolarias y representativas;88,58;88.580,00
15.01;22716;Para AIREF por revisión de áreas de gasto público;1.295,28;1.295.280,00
15.01;23;Indemnizaciones por razón del servicio;1.247,78;1.247.780,00
—;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;66.770,44;66.770.440,00
15.01;35;Intereses de demora y otros gastos financieros;3.890,00;3.890.000,00
15.01;352;Intereses de demora;3.890,00;3.890.000,00
—;—;TOTAL GASTOS FINANCIEROS;3.890,00;3.890.000,00
15.01;44;A Sociedades, Fundaciones y Sector Público Estatal;490.842,24;490.842.240,00
15.01;442;A la Corporación R.T.V.E.;489.552,24;489.552.240,00
15.01;44200;Servicio público de radio y televisión;478.229,28;478.229.280,00
15.01;44201;Orquesta y Coro de R.T.V.E.;11.322,96;11.322.960,00
15.01;448;Al Consorcio de la Zona Especial Canaria;1.290,00;1.290.000,00
15.01;47;A empresas privadas;320.000,00;320.000.000,00
15.01;471;Reclamaciones por responsabilidad patrimonial del Estado legislador;320.000,00;320.000.000,00
15.01;48;A familias e instituciones sin fines de lucro;30.533,73;30.533.730,00
15.01;480;A familias e instituciones sin fines de lucro;515,85;515.850,00
15.01;481;Hermandad de Jubilados del Ministerio de Economía y Hacienda;17,88;17.880,00
15.01;483;Reclamaciones por responsabilidad patrimonial del Estado legislador;30.000,00;30.000.000,00
—;—;TOTAL TRANSFERENCIAS CORRIENTES;841.375,97;841.375.970,00
15.01;6;INVERSIONES REALES;10.931,80;10.931.800,00
15.01;83;Concesión de préstamos fuera del Sector Público;604,35;604.350,00
15.01;87;Aportaciones patrimoniales;3.000,00;3.000.000,00
15.01;871–876;Aportaciones a Consorcios de Zonas Francas;3.000,00;3.000.000,00
—;—;TOTAL ACTIVOS FINANCIEROS;3.604,35;3.604.350,00
—;—;TOTAL MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;1.056.789,73;1.056.789.730,00
;;TOTAL GASTOS FINANCIEROS;;3.890,00
15.02;10;Altos cargos;61,05;61.050,00
15.02;12;Funcionarios;8.242,47;8.242.470,00
15.02;13;Laborales;430,73;430.730,00
15.02;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;680;680.000,00
—;—;TOTAL GASTOS DE PERSONAL;9.414,25;9.414.250,00
15.02;20;Arrendamientos y cánones;19,00;19.000,00
15.02;202;Arrendamientos de edificios y otras construcciones;15;15.000,00
15.02;21;Reparaciones, mantenimiento y conservación;20;20.000,00
15.02;22;Material, suministros y otros;647,04;647.040,00
15.02;22601;Atenciones protocolarias y representativas;8,16;8.160,00
15.02;24;Gastos de publicaciones;218,23;218.230,00
—;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;904,27;904.270,00
15.02;6;INVERSIONES REALES;575,72;575.720,00
—;—;TOTAL SECRETARÍA GENERAL TÉCNICA;10.894,24;10.894.240,00
15.05;10;Altos cargos;80,31;80.310,00
15.05;11;Personal eventual;235,54;235.540,00
15.05;12;Funcionarios;2.436,73;2.436.730,00
15.05;13;Laborales;52,12;52.120,00
15.05;15;Incentivos al rendimiento;8.071,96;8.071.960,00
15.05;150;Productividad;8.046,12;8.046.120,00
15.05;151;Gratificaciones;25,84;25.840,00
15.05;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;130;130.000,00
—;—;TOTAL GASTOS DE PERSONAL;11.006,66;11.006.660,00
