;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 15 MINISTERIO DE HACIENDA;
;Programa: 931N Política presupuestaria;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;15.11;15.12;15.13;15.14;15.15;Total;
1;GASTOS DE PERSONAL;9.685,64;6.891,18;6.310,49;13.140,93;5.902,55;41.930,79;
10; Altos cargos;;80,31;61,05;193,25;61,05;395,66;
11; Personal eventual;;235,54;;53,47;;289,01;
12; Funcionarios;8.516,02;2.605,39;5.284,31;9.810,22;5.369,74;31.585,68;
13; Laborales;393,23;;261,71;168,32;21,81;845,07;
15; Incentivos al rendimiento;;3.794,94;;2.080,67;;5.875,61;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;776,39;175,00;703,42;835,00;449,95;2.939,76;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;9.150,58;122,13;69,61;233,53;101,15;9.677,00;
20; Arrendamientos y cánones;25,00;;;;;25,00;
21; Reparaciones, mantenimiento y conservación;3.761,71;;4,22;;;3.765,93;
22; Material, suministros y otros;5.340,54;63,47;58,66;53,43;14,43;5.530,53;
23; Indemnizaciones por razón del servicio;23,33;58,66;6,73;180,10;86,72;355,54;
4;TRANSFERENCIAS CORRIENTES;;;;418,58;;418,58;
49; Al exterior;;;;418,58;;418,58;
6;INVERSIONES REALES;22.760,00;5,61;8,23;2.271,39;17,63;25.062,86;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;;5,61;;;;5,61;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;22.760,00;;8,23;0,52;8,63;22.777,38;
64; Gastos de inversiones de carácter inmaterial;;;;2.270,87;9,00;2.279,87;
;TOTAL;41.596,22;7.018,92;6.388,33;16.064,43;6.021,33;77.089,23;
;;



