Económica;Explicación;Total (miles euros);Total (euros)
1;Gastos de personal;4.961,20;4.961.200,00
10;Altos cargos;61,05;61.050,00
12;Funcionarios;3.237,17;3.237.170,00
13;Laborales;603,77;603.770,00
15;Incentivos al rendimiento;671,96;671.960,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;387,25;387.250,00
2;Gastos corrientes en bienes y servicios;708,89;708.890,00
21;Reparaciones, mantenimiento y conservación;82,11;82.110,00
22;Material, suministros y otros;414,22;414.220,00
23;Indemnizaciones por razón del servicio;104,59;104.590,00
24;Gastos de publicaciones;107,97;107.970,00
4;Transferencias corrientes;186,19;186.190,00
48;A familias e instituciones sin fines de lucro (becas);186,19;186.190,00
6;Inversiones reales;620;620.000,00
62;Inversión nueva asociada al funcionamiento operativo de los servicios;20;20.000,00
63;Inversión de reposición asociada al funcionamiento operativo de los servicios;160;160.000,00
64;Gastos de inversiones de carácter inmaterial;440;440.000,00
8;Activos financieros;35,74;35.740,00
83;Concesión de préstamos fuera del Sector Público;35,74;35.740,00
;TOTAL PROGRAMA 462N;6.512,02;6.512.020,00
