Económica;Explicación;15.101;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;15.946,53;15.946,53;15.946.530,00
12;Funcionarios;11.753,80;11.753,80;11.753.800,00
15;Incentivos al rendimiento;292,4;292,4;292.400,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;3.900,33;3.900,33;3.900.330,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;8.111,04;8.111,04;8.111.040,00
20;Arrendamientos y cánones;59,98;59,98;59.980,00
21;Reparaciones, mantenimiento y conservación;243,98;243,98;243.980,00
22;Material, suministros y otros;1.327,07;1.327,07;1.327.070,00
23;Indemnizaciones por razón del servicio;6.480,01;6.480,01;6.480.010,00
3;GASTOS FINANCIEROS;6,75;6,75;6.750,00
35;Intereses de demora y otros gastos financieros;6,75;6,75;6.750,00
4;TRANSFERENCIAS CORRIENTES;210;210;210.000,00
48;A familias e instituciones sin fines de lucro;210;210;210.000,00
6;INVERSIONES REALES;810;810;810.000,00
62;Inversión nueva asociada al funcionamiento operativo;17,53;17,53;17.530,00
63;Inversión de reposición asociada al funcionamiento operativo;792,47;792,47;792.470,00
8;ACTIVOS FINANCIEROS;35,74;35,74;35.740,00
83;Concesión de préstamos fuera del Sector Público;35,74;35,74;35.740,00
;TOTAL PROGRAMA 923N;—;25.120,06;25.120.060,00
