;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 15 MINISTERIO DE HACIENDA;
;Programa: 923A Gestión del Patrimonio del Estado;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;15.04;;Total;
1;GASTOS DE PERSONAL;6.684,44;;6.684,44;
10; Altos cargos;61,05;;61,05;
12; Funcionarios;6.075,09;;6.075,09;
13; Laborales;48,30;;48,30;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;500,00;;500,00;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;5.829,54;;5.829,54;
21; Reparaciones, mantenimiento y conservación;993,84;;993,84;
22; Material, suministros y otros;4.835,70;;4.835,70;
3;GASTOS FINANCIEROS;90,00;;90,00;
35; Intereses de demora y otros gastos financieros;90,00;;90,00;
4;TRANSFERENCIAS CORRIENTES;17,31;;17,31;
48; A familias e instituciones sin fines de lucro;8,00;;8,00;
49; Al exterior;9,31;;9,31;
6;INVERSIONES REALES;43.911,00;;43.911,00;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;43.656,50;;43.656,50;
64; Gastos de inversiones de carácter inmaterial;254,50;;254,50;
8;ACTIVOS FINANCIEROS;170.250,00;;170.250,00;
85; Adquisición de acciones y participaciones del Sector Público;170.000,00;;170.000,00;
86; Adquisición de acciones y participaciones de fuera del Sector Público;250,00;;250,00;
;TOTAL;226.782,29;;226.782,29;
;;



