Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
15.07;10;Altos cargos;61,05;61.050,00
15.07;12;Funcionarios;5.297,74;5.297.740,00
15.07;13;Laborales;27,27;27.270,00
15.07;16000;Seguridad Social;270;270.000,00
15.07;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;270;270.000,00
;—;TOTAL GASTOS DE PERSONAL;5.656,06;5.656.060,00
15.07;21;Reparaciones, mantenimiento y conservación;18,15;18.150,00
15.07;22;Material, suministros y otros;20,4;20.400,00
15.07;22601;Atenciones protocolarias y representativas;2,34;2.340,00
15.07;23;Indemnizaciones por razón del servicio;240,29;240.290,00
;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;278,84;278.840,00
15.07;6;INVERSIONES REALES;34,31;34.310,00
;—;TOTAL DIRECCIÓN GENERAL DE TRIBUTOS;5.969,21;5.969.210,00
;—;TOTAL PROGRAMA 931O — POLÍTICA TRIBUTARIA;5.969,21;5.969.210,00
