;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 15 MINISTERIO DE HACIENDA;
;Programa: 93KE C11.I05 Transformación de la Administración para la Ejecución del PRTR. Administración Financiera y Tributaria;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;15.50;;Total;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;467,00;;467,00;
29; Gastos corrientes en bienes y servicios. Mecanismo de Recuperación y Resiliencia;467,00;;467,00;
;TOTAL;467,00;;467,00;
;;



