Económica;Explicación;15.301;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;6.731,21;6.731,21;6.731.210,00
10;Altos cargos;731,54;731,54;731.540,00
12;Funcionarios;3.349,53;3.349,53;3.349.530,00
13;Laborales;172,31;172,31;172.310,00
15;Incentivos al rendimiento;1.505,15;1.505,15;1.505.150,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;972,68;972,68;972.680,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;3.445,69;3.445,69;3.445.690,00
20;Arrendamientos y cánones;100;100;100.000,00
21;Reparaciones, mantenimiento y conservación;37;37;37.000,00
22;Material, suministros y otros;3.188,69;3.188,69;3.188.690,00
23;Indemnizaciones por razón del servicio;110;110;110.000,00
24;Gastos de publicaciones;10;10;10.000,00
3;GASTOS FINANCIEROS;30;30;30.000,00
35;Intereses de demora y otros gastos financieros;30;30;30.000,00
4;TRANSFERENCIAS CORRIENTES;160;160;160.000,00
44;A entidades del Sector Público Estatal;80;80;80.000,00
47;A empresas privadas;80;80;80.000,00
6;INVERSIONES REALES;200;200;200.000,00
62;Inversión nueva asociada al funcionamiento operativo;170;170;170.000,00
64;Gastos de inversiones de carácter inmaterial;30;30;30.000,00
8;ACTIVOS FINANCIEROS;12;12;12.000,00
83;Concesión de préstamos fuera del Sector Público;12;12;12.000,00
—;TOTAL PROGRAMA 931Q — CONTROL Y SUPERVISIÓN DE LA POLÍTICA FISCAL;—;10.578,90;10.578.900,00
