Clasificación por programas;Explicación;Cap. 1;Cap. 2;Cap. 3;Cap. 4;Cap. 6;Cap. 7;Cap. 8;Cap. 1 a 8;Total (miles euros);Total (euros)
212A;Pensiones no contributivas y prestaciones asistenciales;—;—;—;4.100,00;—;—;—;4.100,00;4.100,00;4.100.000,00
219N;Gestión de pensiones de Clases Pasivas;4.967,04;—;—;—;—;—;—;4.967,04;4.967,04;4.967.040,00
231B;Acciones en favor de los emigrantes;1.542,19;622,21;—;58.337,79;—;—;—;60.502,19;60.502,19;60.502.190,00
231G;Atención a la infancia y a las familias;—;—;—;—;—;—;1.800,00;1.800,00;1.800,00;1.800.000,00
231H;Acciones en favor de los inmigrantes;18.211,64;689.661,21;200;36.040,00;1.000,00;300;—;745.412,85;745.412,85;745.412.850,00
232E;Análisis y definición de objetivos y políticas de Inclusión;2.701,84;—;—;50;—;—;—;2.751,84;2.751,84;2.751.840,00
291M;Dirección y Servicios Generales;32.802,29;20.509,10;70;381,24;13.281,00;—;55;67.098,63;67.098,63;67.098.630,00
—;TOTAL CONSOLIDADO (Cap. 1 a 8);60.225,00;710.792,52;270;98.909,03;14.281,00;300;1.855,00;886.632,55;886.632,55;886.632.550,00
000X;Transferencias y libramientos internos;—;—;—;34.721.929,32;—;1.240,20;10.003.806,15;44.726.975,67;44.726.975,67;44.726.975.670,00
—;TOTAL GENERAL;60.225,00;710.792,52;270;34.820.838,35;14.281,00;1.540,20;10.005.661,15;45.613.608,22;45.613.608,22;45.613.608.220,00
