;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen económico por programas del presupuesto de gastos;
;;
;Sección: 31 MINISTERIO DE JUVENTUD E INFANCIA;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Clasif. por programas;Explicación;Cap. 1;Cap. 2;Cap. 3;Cap. 4;Cap. 6;Cap. 7;Cap. 8;Cap. 1 a 8;Total;
231G; Atención a la infancia y a las familias;2.296,43;2.285,62;;36.748,61;;52,00;;41.382,66;41.382,66;
232A; Promoción y servicios a la juventud;9.421,25;8.519,20;26,00;36.032,97;197,22;50,00;29,95;54.276,59;54.276,59;
232N; Dirección y Servicios Generales de Juventud e Infancia;8.993,50;922,52;;;5,00;;;9.921,02;9.921,02;
46SA; C19.I01 Competencias digitales transversales. I+D+i+Digitalización;;;;;7.000,00;90.000,00;;97.000,00;97.000,00;
;TOTAL CONSOLIDADO;20.711,18;11.727,34;26,00;72.781,58;7.202,22;90.102,00;29,95;202.580,27;202.580,27;
000X; Transferencias y libramientos internos;;;;12.311,64;;247,22;;12.558,86;12.558,86;
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;;;;12.311,64;;247,22;;12.558,86;12.558,86;
;TOTAL;20.711,18;11.727,34;26,00;85.093,22;7.202,22;90.349,22;29,95;215.139,13;215.139,13;
;;



