Económica;Explicación;15.08 ;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;—;84.796,22;84.796.220,00
10;Altos cargos;61,05;61,05;61.050,00
12;Funcionarios;76.432,11;76.432,11;76.432.110,00
13;Laborales;1.603,06;1.603,06;1.603.060,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;6.700,00;6.700,00;6.700.000,00
16000;Seguridad Social;6.700,00;—;6.700.000,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;—;6.778,76;6.778.760,00
21;Reparaciones, mantenimiento y conservación;2.733,15;2.733,15;2.733.150,00
22;Material, suministros y otros;3.713,35;3.713,35;3.713.350,00
22601;Atenciones protocolarias y representativas;2,34;—;2.340,00
23;Indemnizaciones por razón del servicio;332,26;332,26;332.260,00
3;GASTOS FINANCIEROS;—;50,67;50.670,00
35;Intereses de demora y otros gastos financieros;50,67;50,67;50.670,00
352;Intereses de demora;50,67;—;50.670,00
4;TRANSFERENCIAS CORRIENTES;—;24,94;24.940,00
49;Al exterior;24,94;24,94;24.940,00
493;Cuota a EUROGEOGRAPHICS;24,94;—;24.940,00
6;INVERSIONES REALES;—;22.387,34;22.387.340,00
—;—;—;—;—
—;TOTAL PROGRAMA 932M — GESTIÓN DEL CATASTRO INMOBILIARIO;—;114.037,93;114.037.930,00
