Económica;Explicación;15.107;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;42.124,57;42.124,57;42.124.570,00
10;Altos cargos;61,05;61,05;61.050,00
12;Funcionarios;3.753,92;3.753,92;3.753.920,00
13;Laborales;26.751,66;26.751,66;26.751.660,00
15;Incentivos al rendimiento;1.679,35;1.679,35;1.679.350,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;9.878,59;9.878,59;9.878.590,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;4.783,23;4.783,23;4.783.230,00
21;Reparaciones, mantenimiento y conservación;1.399,00;1.399,00;1.399.000,00
22;Material, suministros y otros;3.187,23;3.187,23;3.187.230,00
23;Indemnizaciones por razón del servicio;197;197;197.000,00
3;GASTOS FINANCIEROS;25;25;25.000,00
35;Intereses de demora y otros gastos financieros;25;25;25.000,00
6;INVERSIONES REALES;1.500,00;1.500,00;1.500.000,00
62;Inversión nueva asociada al funcionamiento operativo de los servicios;235;235;235.000,00
63;Inversión de reposición asociada al funcionamiento operativo de los servicios;1.265,00;1.265,00;1.265.000,00
8;ACTIVOS FINANCIEROS;101,52;101,52;101.520,00
83;Concesión de préstamos fuera del Sector Público;101,52;101,52;101.520,00
;TOTAL PROGRAMA 921T;—;48.534,32;48.534.320,00
