;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 15 MINISTERIO DE HACIENDA;
;Programa: 932N Resolución de reclamaciones económico-administrativas;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;15.09;;Total;
1;GASTOS DE PERSONAL;29.264,49;;29.264,49;
10; Altos cargos;61,05;;61,05;
12; Funcionarios;27.200,77;;27.200,77;
13; Laborales;552,67;;552,67;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;1.450,00;;1.450,00;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;601,21;;601,21;
21; Reparaciones, mantenimiento y conservación;129,49;;129,49;
22; Material, suministros y otros;389,99;;389,99;
23; Indemnizaciones por razón del servicio;81,73;;81,73;
4;TRANSFERENCIAS CORRIENTES;1,00;;1,00;
49; Al exterior;1,00;;1,00;
6;INVERSIONES REALES;1.430,56;;1.430,56;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;1.430,56;;1.430,56;
;TOTAL;31.297,26;;31.297,26;
;;



