;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 15 MINISTERIO DE HACIENDA;
;Programa: 931P Control interno y Contabilidad Pública;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;15.11;;Total;
1;GASTOS DE PERSONAL;88.853,87;;88.853,87;
10; Altos cargos;71,17;;71,17;
12; Funcionarios;70.630,51;;70.630,51;
13; Laborales;1.033,52;;1.033,52;
15; Incentivos al rendimiento;12.368,67;;12.368,67;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;4.750,00;;4.750,00;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;1.735,46;;1.735,46;
21; Reparaciones, mantenimiento y conservación;918,82;;918,82;
22; Material, suministros y otros;208,16;;208,16;
23; Indemnizaciones por razón del servicio;608,48;;608,48;
6;INVERSIONES REALES;1.699,69;;1.699,69;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;53,13;;53,13;
64; Gastos de inversiones de carácter inmaterial;1.646,56;;1.646,56;
;TOTAL;92.289,02;;92.289,02;
;;



