Económica;Explicación;15.11;15.12;15.13;15.14;15.15;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;9.685,64;6.891,18;6.310,49;13.140,93;5.902,55;41.930,79;41.930.790,00
10;Altos cargos;—;80,31;61,05;193,25;61,05;395,66;395.660,00
11;Personal eventual;—;235,54;—;53,47;—;289,01;289.010,00
12;Funcionarios;8.516,02;2.605,39;5.284,31;9.810,22;5.369,74;31.585,68;31.585.680,00
13;Laborales;393,23;—;261,71;168,32;21,81;845,07;845.070,00
15;Incentivos al rendimiento;—;3.794,94;—;2.080,67;—;5.875,61;5.875.610,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;776,39;175;703,42;835;449,95;2.939,76;2.939.760,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;9.150,58;122,13;69,61;233,53;101,15;9.677,00;9.677.000,00
20;Arrendamientos y cánones;25;—;—;—;—;25;25.000,00
21;Reparaciones, mantenimiento y conservación;3.761,71;—;4,22;—;—;3.765,93;3.765.930,00
22;Material, suministros y otros;5.340,54;63,47;58,66;53,43;14,43;5.530,53;5.530.530,00
23;Indemnizaciones por razón del servicio;23,33;58,66;6,73;180,1;86,72;355,54;355.540,00
4;TRANSFERENCIAS CORRIENTES;—;—;—;418,58;—;418,58;418.580,00
49;Al exterior;—;—;—;418,58;—;418,58;418.580,00
6;INVERSIONES REALES;22.760,00;5,61;8,23;2.271,39;17,63;25.062,86;25.062.860,00
62;Inversión nueva asociada al funcionamiento operativo de los servicios;—;5,61;—;—;—;5,61;5.610,00
63;Inversión de reposición asociada al funcionamiento operativo de los servicios;22.760,00;—;8,23;0,52;8,63;22.777,38;22.777.380,00
64;Gastos de inversiones de carácter inmaterial;—;—;—;2.270,87;9;2.279,87;2.279.870,00
—;TOTAL GENERAL PROGRAMA 931N;41.596,22;7.018,92;6.388,33;16.064,43;6.021,33;77.089,23;77.089.230,00
