Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
15.01;1;GASTOS DE PERSONAL;130.217,17;130.217.170,00
15.01;10;Altos cargos;269,6;269.600,00
15.01;11;Personal eventual;321,42;321.420,00
15.01;12;Funcionarios;101.715,79;101.715.790,00
15.01;13;Laborales;5.330,49;5.330.490,00
15.01;15;Incentivos al rendimiento;16.742,12;16.742.120,00
15.01;150;Productividad;16.081,88;16.081.880,00
15.01;151;Gratificaciones;660,24;660.240,00
15.01;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;5.837,75;5.837.750,00
15.01;16000;Seguridad Social;3.703,49;3.703.490,00
15.01;16200;Formación y perfeccionamiento del personal;642,38;642.380,00
15.01;16201;Economatos y comedores;32,1;32.100,00
15.01;16204;Acción social;1.080,44;1.080.440,00
15.01;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;73.087,06;73.087.060,00
15.01;20;Arrendamientos y cánones;27.418,32;27.418.320,00
15.01;202;Arrendamientos de edificios y otras construcciones;27.401,68;27.401.680,00
15.01;21;Reparaciones, mantenimiento y conservación;5.451,11;5.451.110,00
15.01;22;Material, suministros y otros;38.969,85;38.969.850,00
15.01;22109;Labores Fábrica Nacional Moneda y Timbre;30;30.000,00
15.01;22502;Locales;3.686,27;3.686.270,00
15.01;22601;Atenciones protocolarias y representativas;88,58;88.580,00
15.01;22716;Para AIREF por revisión de áreas de gasto público;1.295,28;1.295.280,00
15.01;23;Indemnizaciones por razón del servicio;1.247,78;1.247.780,00
15.01;3;GASTOS FINANCIEROS;3.890,00;3.890.000,00
15.01;35 / 352;Intereses de demora y otros gastos financieros;3.890,00;3.890.000,00
15.01;4;TRANSFERENCIAS CORRIENTES;841.375,97;841.375.970,00
15.01;44;A entidades del Sector Público Estatal;490.842,24;490.842.240,00
15.01;442;A la Corporación R.T.V.E.;489.552,24;489.552.240,00
15.01;44200;Servicio público de radio y televisión;478.229,28;478.229.280,00
15.01;44201;Actividades de la Orquesta y Coro de R.T.V.E.;11.322,96;11.322.960,00
15.01;448;Al Consorcio de la Zona Especial Canaria;1.290,00;1.290.000,00
15.01;47;A empresas privadas;320.000,00;320.000.000,00
15.01;471;Reclamaciones por responsabilidad patrimonial del Estado legislador;320.000,00;320.000.000,00
15.01;48;A familias e instituciones sin fines de lucro;30.533,73;30.533.730,00
