Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
15.101;1;GASTOS DE PERSONAL;15.946,53;15.946.530,00
15.101;15;Incentivos al rendimiento;292,4;292.400,00
15.101;150;Productividad;292,4;292.400,00
15.101;16000;Seguridad Social;3.866,37;3.866.370,00
15.101;16200;Formación y perfeccionamiento del personal;17;17.000,00
15.101;16204;Acción social;12,89;12.890,00
15.101;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;8.111,04;8.111.040,00
15.101;202;Arrendamientos de edificios y otras construcciones;57,92;57.920,00
15.101;22502;Locales;23,46;23.460,00
15.101;3;GASTOS FINANCIEROS;6,75;6.750,00
15.101;35;Intereses de demora y otros gastos financieros;6,75;6.750,00
15.101;359;Otros gastos financieros;6,75;6.750,00
15.101;4;TRANSFERENCIAS CORRIENTES;210;210.000,00
15.101;48;A familias e instituciones sin fines de lucro;210;210.000,00
15.101;480;Becas;210;210.000,00
15.101;6;INVERSIONES REALES;810;810.000,00
15.101;8;ACTIVOS FINANCIEROS;35,74;35.740,00
15.101;83;Concesión de préstamos fuera del Sector Público;35,74;35.740,00
15.101;830;Préstamos a corto plazo;35,74;35.740,00
;;TOTAL INSTITUTO DE ESTUDIOS FISCALES;25.120,06;25.120.060,00
;;TOTAL PROGRAMA 923N;25.120,06;25.120.060,00
