Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
15.301;15;Incentivos al rendimiento;1.505,15;1.505.150,00
15.301;150;Productividad;1.505,15;1.505.150,00
15.301;16200;Formación y perfeccionamiento del personal;90;90.000,00
15.301;16201;Economatos y comedores;110;110.000,00
15.301;16204;Acción social;55;55.000,00
;—;TOTAL GASTOS DE PERSONAL;6.731,21;6.731.210,00
15.301;202;Arrendamientos de edificios y otras construcciones;100;100.000,00
15.301;22601;Atenciones protocolarias y representativas;4,68;4.680,00
;—;TOTAL AUTORIDAD INDEPENDIENTE DE RESPONSABILIDAD FISCAL;10.578,90;10.578.900,00
;—;TOTAL PROGRAMA 931Q — CONTROL Y SUPERVISIÓN DE LA POLÍTICA FISCAL;10.578,90;10.578.900,00
