;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 15 MINISTERIO DE HACIENDA;
;Programa: 462N Investigación y estudios estadísticos y económicos;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;15.101;;Total;
1;GASTOS DE PERSONAL;4.961,20;;4.961,20;
10; Altos cargos;61,05;;61,05;
12; Funcionarios;3.237,17;;3.237,17;
13; Laborales;603,77;;603,77;
15; Incentivos al rendimiento;671,96;;671,96;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;387,25;;387,25;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;708,89;;708,89;
21; Reparaciones, mantenimiento y conservación;82,11;;82,11;
22; Material, suministros y otros;414,22;;414,22;
23; Indemnizaciones por razón del servicio;104,59;;104,59;
24; Gastos de publicaciones;107,97;;107,97;
4;TRANSFERENCIAS CORRIENTES;186,19;;186,19;
48; A familias e instituciones sin fines de lucro;186,19;;186,19;
6;INVERSIONES REALES;620,00;;620,00;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;20,00;;20,00;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;160,00;;160,00;
64; Gastos de inversiones de carácter inmaterial;440,00;;440,00;
8;ACTIVOS FINANCIEROS;35,74;;35,74;
83; Concesión de préstamos fuera del Sector Público;35,74;;35,74;
;TOTAL;6.512,02;;6.512,02;
;;



