Económica;Explicación;27.302;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;35.947,14;35.947,14;35.947.140,00
10;Altos cargos;1.187,50;1.187,50;1.187.500,00
11;Personal eventual;160,38;160,38;160.380,00
12;Funcionarios;9.638,08;9.638,08;9.638.080,00
13;Laborales;16.946,43;16.946,43;16.946.430,00
15;Incentivos al rendimiento;1.490,33;1.490,33;1.490.330,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;6.524,42;6.524,42;6.524.420,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;21.216,49;21.216,49;21.216.490,00
20;Arrendamientos y cánones;165,12;165,12;165.120,00
21;Reparaciones, mantenimiento y conservación;1.011;1.010,93;1.010.930,00
22;Material, suministros y otros;19.053,71;19.053,71;19.053.710,00
23;Indemnizaciones por razón del servicio;986,73;986,73;986.730,00
3;GASTOS FINANCIEROS;298,5;298,5;298.500,00
35;Intereses de demora y otros gastos financieros;298,5;298,5;298.500,00
4;TRANSFERENCIAS CORRIENTES;690,38;690,38;690.380,00
48;A familias e instituciones sin fines de lucro;502,08;502,08;502.080,00
49;Al exterior;188,3;188,3;188.300,00
6;INVERSIONES REALES;4.079,74;4.079,74;4.079.740,00
62;Inversión nueva asociada al funcionamiento operativo de los servicios;1.048,01;1.048,01;1.048.010,00
63;Inversión de reposición asociada al funcionamiento operativo de los servicios;115;115;115.000,00
64;Gastos de inversiones de carácter inmaterial;2.916,73;2.916,73;2.916.730,00
8;ACTIVOS FINANCIEROS;60,4;60,4;60.400,00
83;Concesión de préstamos fuera del Sector Público;60,4;60,4;60.400,00
—;TOTAL PROGRAMA 492M – Defensa de la competencia y regulación de sectores productivos;—;62.292,65;62.292.650,00
