Orgánica;Económica;Explicación;Total (miles €);Total (€)
27.07;10;Altos cargos;61,04;61.040,00
27.07;12;Funcionarios;9.219,64;9.219.640,00
27.07;13;Laborales;660,63;660.630,00
27.07;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;1.103,64;1.103.640,00
27.07;16000;Seguridad Social;1.103,64;1.103.640,00
—;—;TOTAL GASTOS DE PERSONAL;11.044,95;11.044.950,00
27.07;21;Reparaciones, mantenimiento y conservación;1.228,18;1.228.180,00
27.07;22;Material, suministros y otros;1.220,92;1.220.920,00
27.07;22601;Atenciones protocolarias y representativas;1,96;1.960,00
27.07;23;Indemnizaciones por razón del servicio;176,97;176.970,00
—;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;2.626,07;2.626.070,00
27.07;49;Al exterior;1.999,93;1.999.930,00
27.07;496;Cuotas a organizaciones internacionales de seguros;1.999,93;1.999.930,00
—;—;TOTAL TRANSFERENCIAS CORRIENTES;1.999,93;1.999.930,00
27.07;6;INVERSIONES REALES;3.267,47;3.267.470,00
—;—;TOTAL DIRECCIÓN GENERAL DE SEGUROS Y FONDOS DE PENSIONES;18.938,42;18.938.420,00
—;—;TOTAL PROGRAMA 493M – Dirección, control y gestión de seguros;18.938,42;18.938.420,00
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
