Económica;Explicación;27.04 (miles €);Total (miles €);Total (€)
1;GASTOS DE PERSONAL;8.937,94;8.937,94;8.937.940,00
10;Altos cargos;132,2;132,2;132.200,00
12;Funcionarios;7.386,28;7.386,28;7.386.280,00
13;Laborales;576,56;576,56;576.560,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;842,9;842,9;842.900,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;35.623,07;35.623,07;35.623.070,00
20;Arrendamientos y cánones;0,85;0,85;850
21;Reparaciones, mantenimiento y conservación;402,84;402,84;402.840,00
22;Material, suministros y otros;34.562,13;34.562,13;34.562.130,00
23;Indemnizaciones por razón del servicio;657,25;657,25;657.250,00
3;GASTOS FINANCIEROS;15.060,44;15.060,44;15.060.440,00
35;Intereses de demora y otros gastos financieros;15.060,44;15.060,44;15.060.440,00
4;TRANSFERENCIAS CORRIENTES;722,22;722,22;722.220,00
48;A familias e instituciones sin fines de lucro;200;200;200.000,00
49;Al exterior;522,22;522,22;522.220,00
6;INVERSIONES REALES;846,36;846,36;846.360,00
62;Inversión nueva asociada al funcionamiento operativo de los servicios;117,44;117,44;117.440,00
63;Inversión de reposición asociada al funcionamiento operativo de los servicios;309,92;309,92;309.920,00
64;Gastos de inversiones de carácter inmaterial;419,00;419;419.000,00
8;ACTIVOS FINANCIEROS;1;1;1.000,00
89;Suscripción de acciones y aportaciones de fondos a organismos internacionales;1,00;1;1.000,00
9;PASIVOS FINANCIEROS;1,00;1;1.000,00
95;Puesta en circulación de moneda metálica;1;1;1.000,00
—;TOTAL PROGRAMA 923O – Gestión de la Deuda y de la Tesorería del Estado;—;61.192,03;61.192.030,00
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
