Económica;Explicación;Importe (miles €);Importe (€);
2;Gastos corrientes en bienes y servicios;734,39;734.390;
29;Gastos corrientes en bienes y servicios (Mecanismo de Recuperación y Resiliencia);734,39;734.390;
6;Inversiones reales;900;900.000;
69;Inversiones reales (Mecanismo de Recuperación y Resiliencia);900;900.000;
7;Transferencias de capital;121.515,61;121.515.610;
75;A Comunidades Autónomas;50.000,00;50.000.000;
76;A Entidades Locales;71.515,61;71.515.610;
TOTAL;—;123.150,00;123.150.000;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
