Orgánica;Económica;Explicación;Total (miles €);Total (€)
27.03;4;TRANSFERENCIAS CORRIENTES;193.756,19;193.756.190,00
27.03;41;A Organismos Autónomos;139.253,04;139.253.040,00
27.03;415;Al Instituto Nacional de Estadística (INE);139.253,04;139.253.040,00
27.03;43;A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;54.503,15;54.503.150,00
27.03;437;A la Comisión Nacional de los Mercados y la Competencia (CNMC);54.503,15;54.503.150,00
27.03;7;TRANSFERENCIAS DE CAPITAL;27.966,83;27.966.830,00
27.03;71;A Organismos Autónomos;24.053,12;24.053.120,00
27.03;714;Al Instituto Nacional de Estadística (INE);24.053,12;24.053.120,00
27.03;73;A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;3.913,71;3.913.710,00
27.03;737;A la Comisión Nacional de los Mercados y la Competencia (CNMC);3.913,71;3.913.710,00
—;—;TOTAL SECRETARÍA DE ESTADO DE ECONOMÍA Y APOYO A LA EMPRESA;221.723,02;221.723.020,00
27.102;4;TRANSFERENCIAS CORRIENTES;393,46;393.460,00
27.102;40;A la Administración del Estado;393,46;393.460,00
27.102;402;Al Estado, para compensar gastos de gestión centralizada;393,46;393.460,00
—;—;TOTAL INSTITUTO DE CONTABILIDAD Y AUDITORÍA DE CUENTAS;393,46;393.460,00
—;—;TOTAL PROGRAMA 000X – Transferencias y libramientos internos;222.116,48;222.116.480,00
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
