;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 27 MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA;
;Programa: 43ME C13.I05 Internacionalización. PYMES;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;27.50;;Total;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;1.000,00;;1.000,00;
29; Gastos corrientes en bienes y servicios. Mecanismo de Recuperación y Resiliencia;1.000,00;;1.000,00;
4;TRANSFERENCIAS CORRIENTES;2.255,00;;2.255,00;
44; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;500,00;;500,00;
47; A empresas privadas;1.300,00;;1.300,00;
49; Al exterior;455,00;;455,00;
6;INVERSIONES REALES;2.350,00;;2.350,00;
69; Inversiones reales. Mecanismo de Recuperación y Resiliencia;2.350,00;;2.350,00;
7;TRANSFERENCIAS DE CAPITAL;66.745,00;;66.745,00;
74; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;53.745,00;;53.745,00;
78; A familias e instituciones sin fines de lucro;13.000,00;;13.000,00;
8;ACTIVOS FINANCIEROS;970.000,00;;970.000,00;
87; Aportaciones patrimoniales;970.000,00;;970.000,00;
;TOTAL;1.042.350,00;;1.042.350,00;
;;



