;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 27 MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA;
;Programa: 923Q Dirección y Servicios Generales de Economía, Comercio y Empresa;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;27.01;27.02;27.03;27.10;27.14;Total;
1;GASTOS DE PERSONAL;30.122,42;2.322,41;4.583,03;5.217,47;;42.245,33;
10; Altos cargos;416,91;61,04;80,30;80,30;;638,55;
11; Personal eventual;718,75;;215,15;210,14;;1.144,04;
12; Funcionarios;20.752,61;2.020,74;661,55;2.389,82;;25.824,72;
13; Laborales;1.935,25;;;389,03;;2.324,28;
15; Incentivos al rendimiento;3.251,50;;3.521,29;1.872,19;;8.644,98;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;3.047,40;240,63;104,74;275,99;;3.668,76;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;17.261,91;134,58;99,33;547,96;2.825,81;20.869,59;
20; Arrendamientos y cánones;;;;;756,50;756,50;
21; Reparaciones, mantenimiento y conservación;1.970,76;;7,75;75,32;170,17;2.224,00;
22; Material, suministros y otros;14.771,15;31,65;45,81;373,04;1.708,36;16.930,01;
23; Indemnizaciones por razón del servicio;520,00;16,15;45,77;99,60;190,78;872,30;
24; Gastos de publicaciones;;86,78;;;;86,78;
3;GASTOS FINANCIEROS;15,00;;2,65;;;17,65;
35; Intereses de demora y otros gastos financieros;15,00;;2,65;;;17,65;
4;TRANSFERENCIAS CORRIENTES;;;;1.000,00;;1.000,00;
48; A familias e instituciones sin fines de lucro;;;;1.000,00;;1.000,00;
6;INVERSIONES REALES;5.067,64;;2,10;72,50;128,91;5.271,15;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;318,00;;;;118,32;436,32;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;2.063,72;;0,30;72,50;10,59;2.147,11;
64; Gastos de inversiones de carácter inmaterial;2.685,92;;1,80;;;2.687,72;
8;ACTIVOS FINANCIEROS;191,32;;;;;191,32;
83; Concesión de préstamos fuera del Sector Público;191,32;;;;;191,32;
;TOTAL;52.658,29;2.456,99;4.687,11;6.837,93;2.954,72;69.595,04;
;;



