Económica;Explicación;27.15 ;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;7.085,44;7.085,44;7.085.440,00
10;Altos cargos;61,04;61,04;61.040,00
12;Funcionarios;6.070,34;6.070,34;6.070.340,00
13;Laborales;287,65;287,65;287.650,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;666,41;666,41;666.410,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;652,13;652,13;652.130,00
22;Material, suministros y otros;582,13;582,13;582.130,00
23;Indemnizaciones por razón del servicio;70;70;70.000,00
4;TRANSFERENCIAS CORRIENTES;134;134;134.000,00
47;A empresas privadas;25;25;25.000,00
48;A familias e instituciones sin fines de lucro;109;109;109.000,00
6;INVERSIONES REALES;5;5;5.000,00
64;Gastos de inversiones de carácter inmaterial;5;5;5.000,00
7;TRANSFERENCIAS DE CAPITAL;2.727,50;2.727,50;2.727.500,00
76;A Entidades Locales;600;600;600.000,00
78;A familias e instituciones sin fines de lucro;2.127,50;2.127,50;2.127.500,00
—;TOTAL GENERAL;10.604,07;10.604,07;10.604.070,00
