Económica;Explicación;27.04 (miles €);Total (miles €);Total (€)
1;GASTOS DE PERSONAL;821,28;821,28;821.280,00
12;Funcionarios;706,76;706,76;706.760,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;114,52;114,52;114.520,00
4;TRANSFERENCIAS CORRIENTES;382.464,54;382.464,54;382.464.540,00
49;Al exterior;382.464,54;382.464,54;382.464.540,00
8;ACTIVOS FINANCIEROS;136.548,84;136.548,84;136.548.840,00
89;Suscripción de acciones y aportaciones a organismos internacionales;136.548,84;136.548,84;136.548.840,00
—;TOTAL PROGRAMA 923P – Relaciones con Instituciones Financieras Multilaterales;—;519.834,66;519.834.660,00
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
