Orgánica;Económica;Explicación;Total (miles €);Total (€)
27.102;15;Incentivos al rendimiento;328,51;328.510,00
27.102;150;Productividad;325,12;325.120,00
27.102;151;Gratificaciones;3,39;3.390,00
27.102;16000;Seguridad Social;686,02;686.020,00
27.102;16200;Formación y perfeccionamiento del personal;24,35;24.350,00
27.102;16201;Economatos y comedores;183,68;183.680,00
27.102;16204;Acción social;10,16;10.160,00
—;—;TOTAL GASTOS DE PERSONAL;5.679,20;5.679.200,00
27.102;202;Arrendamientos de edificios y otras construcciones;70,95;70.950,00
27.102;22502;Locales;72;72.000,00
27.102;22601;Atenciones protocolarias y representativas;1,97;1.970,00
—;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;3.768,50;3.768.500,00
27.102;35;Intereses de demora y otros gastos financieros;0,6;600
27.102;359;Otros gastos financieros;0,6;600
—;—;TOTAL GASTOS FINANCIEROS;0,6;600
27.102;45;A Comunidades Autónomas;6;6.000,00
27.102;450;A la Fundación General Universidad Autónoma;6;6.000,00
27.102;48;A familias e instituciones sin fines de lucro;42,79;42.790,00
27.102;480;A la Asociación Española de Administración y Contabilidad de Empresas;36,79;36.790,00
27.102;481;A la Asociación XBRL;6;6.000,00
27.102;49;Al exterior;368,16;368.160,00
27.102;490;Al Foro Internacional de Organismos Supervisores de Auditoría (IFIAR);18,16;18.160,00
27.102;491;Al European Financial Reporting Advisory Group (EFRAG);350;350.000,00
—;—;TOTAL TRANSFERENCIAS CORRIENTES;416,95;416.950,00
27.102;6;INVERSIONES REALES;629,06;629.060,00
27.102;83;Concesión de préstamos fuera del Sector Público;20;20.000,00
27.102;830;Préstamos a corto plazo;4;4.000,00
27.102;831;Préstamos a largo plazo;16;16.000,00
—;—;TOTAL ACTIVOS FINANCIEROS;20;20.000,00
—;—;TOTAL PROGRAMA 493O – Regulación contable y de auditorías;10.514,31;10.514.310,00
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
 ; ;;;
 ; ;;;
;;TOTAL Regulación contable y de auditorías;;10.514,31
