Orgánica;Económica;Explicación;Total (miles €);Total (€)
27.03;3;GASTOS FINANCIEROS;12.630,00;12.630.000,00
27.03;35;Intereses de demora y otros gastos financieros;12.630,00;12.630.000,00
27.03;359;Otros gastos financieros;12.630,00;12.630.000,00
27.03;4;TRANSFERENCIAS CORRIENTES;2.250,00;2.250.000,00
27.03;48;A familias e instituciones sin fines de lucro;250;250.000,00
27.03;483;Becas Fulbright;200;200.000,00
27.03;484;Fundación Real Instituto Elcano;50;50.000,00
27.03;49;Al exterior;2.000,00;2.000.000,00
27.03;492;MEDE – intereses negativos;2.000,00;2.000.000,00
27.03;7;TRANSFERENCIAS DE CAPITAL;372,07;372.070,00
27.03;74;A entidades del Sector Público Estatal;372,07;372.070,00
27.03;744;Subvenciones de intereses – ICO;372,07;372.070,00
27.03;8;ACTIVOS FINANCIEROS;1;1.000,00
27.03;89;Aportaciones a organismos internacionales;1;1.000,00
27.03;892;MEDE – aportación;1;1.000,00
—;—;TOTAL SECRETARÍA DE ESTADO DE ECONOMÍA Y APOYO A LA EMPRESA;15.253,07;15.253.070,00
27.05;1;GASTOS DE PERSONAL;2.621,42;2.621.420,00
27.05;10;Altos cargos;61,04;61.040,00
27.05;12;Funcionarios;2.328,74;2.328.740,00
27.05;13;Laborales;16,87;16.870,00
27.05;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;214,77;214.770,00
27.05;16000;Seguridad Social;214,77;214.770,00
27.05;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;163,18;163.180,00
27.05;22;Material, suministros y otros;53,03;53.030,00
27.05;22601;Atenciones protocolarias y representativas;3,16;3.160,00
27.05;23;Indemnizaciones por razón del servicio;110,15;110.150,00
27.05;6;INVERSIONES REALES;4,49;4.490,00
—;—;TOTAL DIRECCIÓN GENERAL DE POLÍTICA ECONÓMICA;2.789,09;2.789.090,00
27.06;1;GASTOS DE PERSONAL;1.987,78;1.987.780,00
27.06;10;Altos cargos;61,04;61.040,00
27.06;12;Funcionarios;1.690,65;1.690.650,00
27.06;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;236,09;236.090,00
27.06;16000;Seguridad Social;236,09;236.090,00
27.06;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;256,92;256.920,00
27.06;22;Material, suministros y otros;140,68;140.680,00
27.06;22601;Atenciones protocolarias y representativas;4,22;4.220,00
27.06;23;Indemnizaciones por razón del servicio;116,24;116.240,00
27.06;4;TRANSFERENCIAS CORRIENTES;21;21.000,00
27.06;49;Al exterior;21;21.000,00
27.06;491;Foro Global de Productividad OCDE;21;21.000,00
—;—;TOTAL DIRECCIÓN GENERAL DE ANÁLISIS MACROECONÓMICO;2.265,70;2.265.700,00
—;—;TOTAL PROGRAMA 931M – Previsión y política económica;20.307,86;20.307.860,00
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
