;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 27 MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA;
;Programa: 431A Promoción comercial e internacionalización de la empresa;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;27.10;27.14;27.15;;;Total;
1;GASTOS DE PERSONAL;;18.797,87;60.150,20;;;78.948,07;
10; Altos cargos;;61,04;;;;61,04;
12; Funcionarios;;14.052,67;31.655,17;;;45.707,84;
13; Laborales;;2.817,07;22.111,13;;;24.928,20;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;;1.867,09;6.383,90;;;8.250,99;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;15.381,06;;;;15.381,06;
20; Arrendamientos y cánones;;7.600,00;;;;7.600,00;
21; Reparaciones, mantenimiento y conservación;;660,52;;;;660,52;
22; Material, suministros y otros;;3.826,71;;;;3.826,71;
23; Indemnizaciones por razón del servicio;;3.293,83;;;;3.293,83;
3;GASTOS FINANCIEROS;;116,93;;;;116,93;
35; Intereses de demora y otros gastos financieros;;116,93;;;;116,93;
4;TRANSFERENCIAS CORRIENTES;16.106,77;535,00;;;;16.641,77;
44; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;15.886,77;30,00;;;;15.916,77;
45; A Comunidades Autónomas;;500,00;;;;500,00;
46; A Entidades Locales;100,00;;;;;100,00;
48; A familias e instituciones sin fines de lucro;120,00;;;;;120,00;
49; Al exterior;;5,00;;;;5,00;
6;INVERSIONES REALES;;1.400,00;;;;1.400,00;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;;50,00;;;;50,00;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;;1.350,00;;;;1.350,00;
7;TRANSFERENCIAS DE CAPITAL;66.816,29;;;;;66.816,29;
74; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;66.816,29;;;;;66.816,29;
8;ACTIVOS FINANCIEROS;;230.146,50;;;;230.146,50;
84; Constitución de depósitos y fianzas;;145,00;;;;145,00;
87; Aportaciones patrimoniales;;230.001,50;;;;230.001,50;
;TOTAL;82.923,06;266.377,36;60.150,20;;;409.450,62;
;;



