Económica;Explicación;Orgánica 27.10;Orgánica 27.14;Orgánica 27.15;Total (miles €);Total (€)
1;GASTOS DE PERSONAL;—;3.842,23;—;3.842,23;3.842.230
12;Funcionarios;—;3.298,04;—;3.298,04;3.298.040
13;Laborales;—;256,68;—;256,68;256.680
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;—;287,51;—;287,51;287.510
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;—;—;794,1;794,1;794.100
21;Reparaciones, mantenimiento y conservación;—;—;126;126;126.000
22;Material, suministros y otros;—;—;291;291;291.000
23;Indemnizaciones por razón del servicio;—;—;377,1;377,1;377.100
4;TRANSFERENCIAS CORRIENTES;2.273,74;—;2.502,38;4.776,12;4.776.120
48;A familias e instituciones sin fines de lucro;2.273,74;—;365,78;2.639,52;2.639.520
49;Al exterior;—;—;2.136,60;2.136,60;2.136.600
6;INVERSIONES REALES;—;—;420;420;420.000
62;Inversión nueva asociada al funcionamiento operativo de los servicios;—;—;300;300;300.000
63;Inversión de reposición asociada al funcionamiento operativo de los servicios;—;—;120;120;120.000
TOTAL;—;2.273,74;3.842,23;3.716,48;9.832,45;9.832.450
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
