;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;;
;;
;Sección: 16 MINISTERIO DEL INTERIOR;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
;Servicio;Programa;Económica;Explicación;;Total;
v;01;;;MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;;;
v;;131M;;Dirección y Servicios Generales de Seguridad y Protección Civil;;;
v;;;1;GASTOS DE PERSONAL;;;
v;;;10;Altos cargos;;407,20;
;;;100;Retribuciones básicas y otras remuneraciones;;407,20;
;;;10000; Retribuciones básicas;171,34;;
;;;10001; Retribuciones complementarias;235,86;;
v;;;11;Personal eventual;;577,33;
;;;110;Retribuciones básicas y otras remuneraciones;;577,33;
;;;11000; Retribuciones básicas;210,21;;
;;;11001; Retribuciones complementarias;367,12;;
v;;;12;Funcionarios;;384.809,00;
;;;120;Retribuciones básicas;;7.445,28;
;;;12000; Sueldos del grupo A1 y grupo A;1.397,23;;
;;;12001; Sueldos del grupo A2 y grupo B;1.118,19;;
;;;12002; Sueldos del grupo C1 y grupo C;1.003,63;;
;;;12003; Sueldos del grupo C2 y grupo D;1.036,08;;
;;;12005; Trienios;1.614,85;;
;;;12006; Pagas extraordinarias;1.275,30;;
;;;121;Retribuciones complementarias;;377.363,72;
;;;12100; Complemento de destino;3.102,81;;
;;;12101; Complemento específico;4.019,10;;
;;;12103; Otros complementos;25,78;;
;;;12104; Complemento de destino Fuerzas y Cuerpos de Seguridad;65,87;;
;;;12105; Complemento específico general Fuerzas y Cuerpos de Seguridad;85,73;;
;;;12106; Complemento específico singular Fuerzas y Cuerpos de Seguridad;85,43;;
;;;12181; Necesidades adicionales;369.979,00;;
v;;;13;Laborales;;3.333,56;
;;;130;Laboral fijo;;3.140,70;
;;;13000; Retribuciones básicas;2.927,63;;
;;;13001; Otras remuneraciones;213,07;;
;;;131;Laboral eventual;;192,86;
v;;;15;Incentivos al rendimiento;;8.442,94;
v;;;150;Productividad;;8.242,48;
v;;;151;Gratificaciones;;200,46;
v;;;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;3.423,36;
;;;160;Cuotas sociales;;2.453,77;
v;;;16000; Seguridad Social;2.453,77;;
;;;162;Gastos sociales del personal;;969,59;
v;;;16200; Formación y perfeccionamiento del personal;177,66;;
v;;;16204; Acción social;623,83;;
;;;16205; Seguros;59,29;;
;;;16209; Otros;108,81;;
;;;;TOTAL GASTOS DE PERSONAL;;400.993,39;
 ; ;;;;;;
v;;;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
v;;;20;Arrendamientos y cánones;;1.163,39;
v;;;202;Arrendamientos de edificios y otras construcciones;;1.157,68;
;;;205;Arrendamientos de mobiliario y enseres;;5,71;
v;;;21;Reparaciones, mantenimiento y conservación;;2.047,03;
;;;212;Edificios y otras construcciones;;707,83;
;;;213;Maquinaria, instalaciones y utillaje;;399,87;
;;;215;Mobiliario y enseres;;137,51;
;;;216;Equipos para procesos de la información;;801,82;
v;;;22;Material, suministros y otros;;14.851,52;
;;;220;Material de oficina;;280,87;
;;;22000; Ordinario no inventariable;108,93;;
;;;22001; Prensa, revistas, libros y otras publicaciones;92,04;;
;;;22002; Material informático no inventariable;79,90;;
;;;221;Suministros;;1.450,97;
;;;22100; Energía eléctrica;1.025,00;;
;;;22101; Agua;15,83;;
;;;22103; Combustible;91,75;;
;;;22104; Vestuario;56,05;;
;;;22106; Productos farmacéuticos y material sanitario;0,74;;
v;;;22109; Labores Fábrica Nacional Moneda y Timbre;11,50;;
;;;22111; Suministros de repuestos de maquinaria, utillaje y elementos de transporte;60,10;;
;;;22112; Suministros de material electrónico, eléctrico y de comunicaciones;65,00;;
;;;22199; Otros suministros;125,00;;
;;;222;Comunicaciones;;296,05;
;;;22200; Servicios de telecomunicaciones;186,44;;
;;;22201; Postales y mensajería;85,57;;
;;;22299; Otras;24,04;;
;;;223;Transportes;;387,60;
;;;225;Tributos;;82,16;
v;;;22502; Locales;82,16;;
;;;226;Gastos diversos;;7.906,70;
v;;;22601; Atenciones protocolarias y representativas;165,97;;
;;;22602; Publicidad y propaganda;111,93;;
;;;22603; Jurídicos, contenciosos;35,13;;
;;;22606; Reuniones, conferencias y cursos;126,53;;
v;;;22608; Gastos reservados;7.374,61;;
v;;;22611; Gastos protocolarios y representativos derivados de actos institucionales;66,47;;
;;;22699; Otros;26,06;;
;;;227;Trabajos realizados por otras empresas y profesionales;;4.447,17;
;;;22700; Limpieza y aseo;47,64;;
;;;22706; Estudios y trabajos técnicos;4.236,42;;
;;;22799; Otros;163,11;;
v;;;23;Indemnizaciones por razón del servicio;;590,14;
;;;230;Dietas;;262,19;
;;;231;Locomoción;;294,30;
;;;232;Traslado;;18,52;
;;;233;Otras indemnizaciones;;15,13;
v;;;24;Gastos de publicaciones;;228,68;
;;;240;Gastos de edición y distribución;;228,68;
;;;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;18.880,76;
 ; ;;;;;;
v;;;3;GASTOS FINANCIEROS;;;
v;;;35;Intereses de demora y otros gastos financieros;;2,37;
v;;;352;Intereses de demora;;2,37;
;;;;TOTAL GASTOS FINANCIEROS;;2,37;
 ; ;;;;;;
v;;;4;TRANSFERENCIAS CORRIENTES;;;
v;;;44;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;2.035,00;
v;;;440;A la Fundación Víctimas del Terrorismo para el desarrollo de sus actividades;;335,00;
v;;;441;A la Fundación Centro para la Memoria de las Víctimas del Terrorismo;;1.700,00;
v;;;48;A familias e instituciones sin fines de lucro;;16.067,70;
v;;;480;Subvenciones según el artículo 65 de la Ley 29/2011, de 22 de septiembre, de Reconocimiento y Protección Integral a las Víctimas del Terrorismo, a asociaciones, fundaciones y entidades sin ánimo de lucro cuyo objetivo sea la representación y defensa de los intereses de las víctimas del terrorismo;;1.000,00;
v;;;483;Indemnizaciones, ayudas y subvenciones derivadas de la Ley 29/2011, de 22 de septiembre, de Reconocimiento y Protección Integral a las Víctimas del Terrorismo y artículo 11 del Real Decreto 671/2013, de 6 de septiembre, por el que se aprueba el Reglamento de la Ley 29/2011;;13.592,70;
v;;;487;Indemnizaciones en aplicación de los artículos 32 a 37 de la Ley 40/2015, de 1 de octubre, de Régimen Jurídico del Sector Público, y la Ley 52/1984, de 26 de diciembre, de Protección de medios de transporte que se hallen en territorio español realizando viajes de carácter internacional;;1.475,00;
;;;;TOTAL TRANSFERENCIAS CORRIENTES;;18.102,70;
 ; ;;;;;;
v;;;6;INVERSIONES REALES;;;
;;;62;Inversión nueva asociada al funcionamiento operativo de los servicios;;13,35;
;;;620;Inversión nueva asociada al funcionamiento operativo de los servicios;;13,35;
;;;63;Inversión de reposición asociada al funcionamiento operativo de los servicios;;4.469,03;
;;;630;Inversión de reposición asociada al funcionamiento operativo de los servicios;;4.469,03;
;;;;TOTAL INVERSIONES REALES;;4.482,38;
 ; ;;;;;;
v;;;8;ACTIVOS FINANCIEROS;;;
v;;;83;Concesión de préstamos fuera del Sector Público;;121,95;
v;;;830;Préstamos a corto plazo;;121,95;
;;;83008; Familias e instituciones sin fines de lucro;121,95;;
;;;;TOTAL ACTIVOS FINANCIEROS;;121,95;
 ; ;;;;;;
;;;;TOTAL Dirección y Servicios Generales de Seguridad y Protección Civil;;442.583,55;
 ; ;;;;;;
v;;131P;;Derecho de asilo y apátridas;;;
v;;;1;GASTOS DE PERSONAL;;;
v;;;12;Funcionarios;;7.986,12;
;;;120;Retribuciones básicas;;4.486,00;
;;;12000; Sueldos del grupo A1 y grupo A;163,51;;
;;;12001; Sueldos del grupo A2 y grupo B;2.724,78;;
;;;12002; Sueldos del grupo C1 y grupo C;511,46;;
;;;12003; Sueldos del grupo C2 y grupo D;64,25;;
;;;12005; Trienios;277,78;;
;;;12006; Pagas extraordinarias;744,22;;
;;;121;Retribuciones complementarias;;3.500,12;
;;;12100; Complemento de destino;1.739,06;;
;;;12101; Complemento específico;1.761,06;;
v;;;13;Laborales;;179,84;
;;;130;Laboral fijo;;179,84;
;;;13000; Retribuciones básicas;166,56;;
;;;13001; Otras remuneraciones;13,28;;
v;;;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;1.664,37;
;;;160;Cuotas sociales;;1.664,37;
v;;;16000; Seguridad Social;1.664,37;;
;;;;TOTAL GASTOS DE PERSONAL;;9.830,33;
 ; ;;;;;;
v;;;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
v;;;21;Reparaciones, mantenimiento y conservación;;860,50;
;;;212;Edificios y otras construcciones;;51,75;
;;;213;Maquinaria, instalaciones y utillaje;;8,00;
;;;215;Mobiliario y enseres;;0,75;
;;;216;Equipos para procesos de la información;;800,00;
v;;;22;Material, suministros y otros;;4.989,80;
;;;220;Material de oficina;;19,60;
;;;22000; Ordinario no inventariable;15,00;;
;;;22001; Prensa, revistas, libros y otras publicaciones;3,00;;
;;;22002; Material informático no inventariable;1,60;;
;;;221;Suministros;;78,62;
;;;22100; Energía eléctrica;57,62;;
;;;22101; Agua;5,00;;
;;;22111; Suministros de repuestos de maquinaria, utillaje y elementos de transporte;6,00;;
;;;22112; Suministros de material electrónico, eléctrico y de comunicaciones;5,00;;
;;;22199; Otros suministros;5,00;;
;;;222;Comunicaciones;;3,04;
;;;22200; Servicios de telecomunicaciones;3,04;;
;;;226;Gastos diversos;;187,92;
;;;22602; Publicidad y propaganda;9,17;;
;;;22603; Jurídicos, contenciosos;50,00;;
;;;22606; Reuniones, conferencias y cursos;128,75;;
;;;227;Trabajos realizados por otras empresas y profesionales;;4.700,62;
;;;22700; Limpieza y aseo;0,62;;
;;;22706; Estudios y trabajos técnicos;4.700,00;;
v;;;23;Indemnizaciones por razón del servicio;;131,00;
;;;230;Dietas;;50,00;
;;;231;Locomoción;;76,00;
;;;233;Otras indemnizaciones;;5,00;
