Económica;Explicación;23.05;23.102;23.103;23.104;23.105;23.106;23.107;23.108;23.109;23.110;23.111;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;7.090,51;9.657,55;19.669,27;26.303,39;24.458,45;18.692,82;14.017,19;6.243,29;12.181,14;17.530,07;13.348,00;169.191,68;169.191.680,00
10;Altos cargos;61,04;–;–;–;–;–;–;–;–;–;–;61,04;61.040,00
12;Funcionarios;5.628,80;5.035,59;6.134,20;9.770,65;9.838,75;7.191,23;7.806,33;3.668,89;5.701,14;6.207,38;3.239,80;70.222,76;70.222.760,00
13;Laborales;465,76;2.536,81;9.252,51;11.839,62;9.417,90;7.343,59;3.423,80;1.412,03;4.076,31;6.796,23;6.680,01;63.244,57;63.244.570,00
15;Incentivos al rendimiento;–;317,66;512,76;572,64;534,24;433,08;345,62;174,26;285;408,19;156,67;3.740,12;3.740.120,00
16;Cuotas, prestaciones y gastos sociales;934,91;1.767,49;3.769,80;4.120,48;4.667,56;3.724,92;2.441,44;988,11;2.118,69;4.118,27;3.271,52;31.923,19;31.923.190,00
2;GASTOS CORRIENTES EN B. Y S.;–;2.335,01;30.961,73;37.660,50;58.191,22;15.375,23;17.218,69;10.035,76;67.514,80;17.829,05;171.005,13;428.127,12;428.127.120,00
20;Arrendamientos y cánones;–;103;710;594;169;316;156;66;2.347;720;167;5.348,46;5.348.460,00
21;Reparaciones, mantenimiento y conservación;–;200;3.707,03;16.946,00;2.030,87;2.380,00;3.012,82;320;11.013,87;968,23;16.967,82;57.546,64;57.546.640,00
22;Material, suministros y otros;–;1.746,96;25.953,94;19.448,00;55.515,05;12.477,75;13.533,74;9.495,76;53.960,72;15.850,42;153.740,31;361.722,65;361.722.650,00
23;Indemnizaciones por razón del servicio;–;282,05;531,12;655;447,43;199,58;491,26;154;192,96;280,19;110;3.343,59;3.343.590,00
24;Gastos de publicaciones;–;3;59,88;17,5;28,6;1,8;25;–;10;20;–;165,78;165.780,00
3;GASTOS FINANCIEROS;–;30;781,33;18,5;250;50;600;15;126,76;570;620;3.061,59;3.061.590,00
31;De préstamos en euros;–;–;–;–;250;–;0,64;–;16,76;10;–;277,4;277.400,00
35;Intereses de demora y otros gastos financieros;–;30;781,33;18,5;–;50;599,36;15;110;560;620;2.784,19;2.784.190,00
4;TRANSFERENCIAS CORRIENTES;8.000,00;150;14,32;45;250;–;156,36;40,43;148;1;–;8.805,11;8.805.110,00
45;A Comunidades Autónomas;8.000,00;–;6,32;45;–;–;4;–;–;–;–;8.055,32;8.055.320,00
48;A familias e instituciones sin fines de lucro;–;150;5;–;–;156,36;36,43;143;–;–;–;490,79;490.790,00
49;Al exterior;–;–;3;–;250;–;–;5;1;–;–;259;259.000,00
6;INVERSIONES REALES;220.800,00;10.015,00;44.952,00;33.385,00;76.762,55;26.300,00;17.446,79;15.130,00;18.199,33;31.493,30;54.846,67;549.330,64;549.330.640,00
60;Inversión nueva en infraestructuras y bienes de uso general;8.400,00;1.510,00;50;–;2.700,00;1.205,57;6.846,00;1.668,71;1.082,00;–;–;23.462,28;23.462.280,00
61;Inversión de reposición en infraestructuras y bienes de uso general;197.400,00;5.960,00;35.170,00;25.090,00;74.486,53;8.800,00;5.576,59;5.005,00;13.253,75;21.733,53;–;392.475,40;392.475.400,00
62;Inversión nueva asociada al funcionamiento operativo de los servicios;500;600;2.962,00;2.725,00;500;4.000,00;1.953,76;1.354,00;597;469;54.846,67;70.507,43;70.507.430,00
63;Inversión de reposición asociada al funcionamiento operativo de los servicios;–;485;890;–;–;4.000,00;4.706,73;310;1.259,53;817;–;12.468,26;12.468.260,00
64;Gastos de inversiones de carácter inmaterial;14.500,00;1.460,00;5.880,00;5.570,00;1.776,02;6.800,00;4.004,14;1.615,00;1.420,34;7.391,77;–;50.417,27;50.417.270,00
7;TRANSFERENCIAS DE CAPITAL;60.306,00;–;–;100;13.200,00;1.000,00;435;50;15.623,55;670;–;91.384,55;91.384.550,00
74;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto del Sector Público Estatal;17.000,00;–;–;–;13.200,00;–;435;–;670;–;–;31.305,00;31.305.000,00
75;A Comunidades Autónomas;41.501,00;–;–;–;–;–;–;–;15.598,55;–;–;57.099,55;57.099.550,00
76;A Entidades Locales;1.805,00;–;–;100;–;1.000,00;–;–;–;–;–;2.905,00;2.905.000,00
78;A familias e instituciones sin fines de lucro;–;–;–;–;–;–;50;25;–;–;–;75;75.000,00
8;ACTIVOS FINANCIEROS;–;30;100;45;162,04;47,92;35;20;65,15;25;1.120,00;1.650,11;1.650.110,00
83;Concesión de préstamos fuera del Sector Público;–;30;100;45;162,04;47,92;35;20;65,15;25;1.120,00;1.650,11;1.650.110,00
9;PASIVOS FINANCIEROS;–;–;–;–;35.500,00;–;–;–;–;–;–;35.500,00;35.500.000,00
91;Amortización de préstamos en euros;–;–;–;–;35.500,00;–;–;–;–;–;–;35.500,00;35.500.000,00
TOTAL;TOTAL GENERAL;296.196,51;22.217,56;96.478,65;97.557,39;208.774,26;61.465,97;49.909,03;31.534,48;113.858,73;68.118,42;240.939,80;1.287.050,80;1.287.050.800,00
