Económica;Explicación;23.08 ;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;6.934,67;6.934,67;6.934.670,00
10;Altos cargos;61,04;61,04;61.040,00
12;Funcionarios;5.755,64;5.755,64;5.755.640,00
13;Laborales;21,67;21,67;21.670,00
16;Cuotas, prestaciones y gastos sociales;1.096,32;1.096,32;1.096.320,00
6;INVERSIONES REALES;7.040,08;7.040,08;7.040.080,00
64;Inversiones de carácter inmaterial;7.040,08;7.040,08;7.040.080,00
7;TRANSFERENCIAS DE CAPITAL;11.200,13;11.200,13;11.200.130,00
75;A Comunidades Autónomas;8.500,13;8.500,13;8.500.130,00
76;A Entidades Locales;2.700,00;2.700,00;2.700.000,00
—;TOTAL PROGRAMA 456B;25.174,88;25.174,88;25.174.880,00
