;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 23 MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO;
;Programa: 45SA C19.I01 Competencias digitales transversales. Transición Ecológica;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;23.50;;Total;
4;TRANSFERENCIAS CORRIENTES;77.500,00;;77.500,00;
44; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;2.000,00;;2.000,00;
45; A Comunidades Autónomas;61.000,00;;61.000,00;
46; A Entidades Locales;1.500,00;;1.500,00;
48; A familias e instituciones sin fines de lucro;13.000,00;;13.000,00;
7;TRANSFERENCIAS DE CAPITAL;12.500,00;;12.500,00;
75; A Comunidades Autónomas;8.000,00;;8.000,00;
76; A Entidades Locales;500,00;;500,00;
78; A familias e instituciones sin fines de lucro;4.000,00;;4.000,00;
;TOTAL;90.000,00;;90.000,00;
;;



