;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 23 MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO;
;Programa: 452M Normativa y ordenación territorial de los recursos hídricos;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;23.04;23.05;Total;
1;GASTOS DE PERSONAL;1.174,48;;1.174,48;
10; Altos cargos;80,30;;80,30;
11; Personal eventual;251,09;;251,09;
12; Funcionarios;727,82;;727,82;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;115,27;;115,27;
4;TRANSFERENCIAS CORRIENTES;8.500,00;;8.500,00;
45; A Comunidades Autónomas;8.500,00;;8.500,00;
8;ACTIVOS FINANCIEROS;;386.820,49;386.820,49;
85; Adquisición de acciones y participaciones del Sector Público;;386.820,49;386.820,49;
;TOTAL;9.674,48;386.820,49;396.494,97;
;;



