;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 23 MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO;
;Programa: 425A Normativa y desarrollo energético;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;23.03;23.09;Total;
1;GASTOS DE PERSONAL;2.210,50;4.194,86;6.405,36;
10; Altos cargos;151,45;61,04;212,49;
11; Personal eventual;251,09;;251,09;
12; Funcionarios;1.504,78;3.583,01;5.087,79;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;303,18;550,81;853,99;
4;TRANSFERENCIAS CORRIENTES;286.451,44;;286.451,44;
44; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;27.500,00;;27.500,00;
45; A Comunidades Autónomas;255.000,00;;255.000,00;
48; A familias e instituciones sin fines de lucro;3.951,44;;3.951,44;
6;INVERSIONES REALES;16.086,93;11.536,05;27.622,98;
64; Gastos de inversiones de carácter inmaterial;16.086,93;11.536,05;27.622,98;
7;TRANSFERENCIAS DE CAPITAL;34.266,00;;34.266,00;
74; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;32.266,00;;32.266,00;
76; A Entidades Locales;2.000,00;;2.000,00;
8;ACTIVOS FINANCIEROS;471.220,64;;471.220,64;
82; Concesión de préstamos al Sector Público;471.220,64;;471.220,64;
;TOTAL;810.235,51;15.730,91;825.966,42;
;;



