;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 23 MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO;
;Programa: 451O Dirección y Servicios Generales para la Transición Ecológica y el Reto Demográfico;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;23.01;23.02;23.12;;;Total;
1;GASTOS DE PERSONAL;34.075,15;2.165,44;10.493,29;;;46.733,88;
10; Altos cargos;284,67;61,04;61,04;;;406,75;
11; Personal eventual;785,95;;;;;785,95;
12; Funcionarios;22.318,27;1.881,84;6.603,88;;;30.803,99;
13; Laborales;117,40;;2.330,35;;;2.447,75;
15; Incentivos al rendimiento;7.784,26;;;;;7.784,26;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;2.784,60;222,56;1.498,02;;;4.505,18;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;24.581,51;;;24.581,51;
20; Arrendamientos y cánones;;;1.205,67;;;1.205,67;
21; Reparaciones, mantenimiento y conservación;;;2.784,80;;;2.784,80;
22; Material, suministros y otros;;;18.680,82;;;18.680,82;
23; Indemnizaciones por razón del servicio;;;1.758,22;;;1.758,22;
24; Gastos de publicaciones;;;152,00;;;152,00;
3;GASTOS FINANCIEROS;;;15,17;;;15,17;
35; Intereses de demora y otros gastos financieros;;;15,17;;;15,17;
4;TRANSFERENCIAS CORRIENTES;11.546,00;;4.725,53;;;16.271,53;
47; A empresas privadas;;;73,32;;;73,32;
48; A familias e instituciones sin fines de lucro;;;4.652,21;;;4.652,21;
49; Al exterior;11.546,00;;;;;11.546,00;
6;INVERSIONES REALES;;;12.300,00;;;12.300,00;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;;;1.600,00;;;1.600,00;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;;;1.700,00;;;1.700,00;
64; Gastos de inversiones de carácter inmaterial;;;9.000,00;;;9.000,00;
7;TRANSFERENCIAS DE CAPITAL;13.170,00;;;;;13.170,00;
75; A Comunidades Autónomas;13.170,00;;;;;13.170,00;
8;ACTIVOS FINANCIEROS;;;168,36;;;168,36;
83; Concesión de préstamos fuera del Sector Público;;;62,36;;;62,36;
84; Constitución de depósitos y fianzas;;;106,00;;;106,00;
;TOTAL;58.791,15;2.165,44;52.283,86;;;113.240,45;
;;



