;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 23 MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO;
;Programa: 456E Reto demográfico y lucha contra la despoblación;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;23.13;23.14;Total;
1;GASTOS DE PERSONAL;486,60;952,35;1.438,95;
10; Altos cargos;71,16;61,04;132,20;
12; Funcionarios;348,71;762,81;1.111,52;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;66,73;128,50;195,23;
4;TRANSFERENCIAS CORRIENTES;;29.908,97;29.908,97;
44; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;63,87;63,87;
45; A Comunidades Autónomas;;13.193,00;13.193,00;
46; A Entidades Locales;;10.265,10;10.265,10;
47; A empresas privadas;;3.000,00;3.000,00;
48; A familias e instituciones sin fines de lucro;;3.387,00;3.387,00;
6;INVERSIONES REALES;;500,00;500,00;
64; Gastos de inversiones de carácter inmaterial;;500,00;500,00;
7;TRANSFERENCIAS DE CAPITAL;;39.797,16;39.797,16;
75; A Comunidades Autónomas;;11.176,86;11.176,86;
76; A Entidades Locales;;22.620,30;22.620,30;
77; A empresas privadas;;3.000,00;3.000,00;
78; A familias e instituciones sin fines de lucro;;3.000,00;3.000,00;
;TOTAL;486,60;71.158,48;71.645,08;
;;



